id,lat,long
6982,30.56115,-97.633481
2318,30.206976,-97.815059
1509,29.85336,-97.957648
3669,30.285691,-97.763217
4787,30.582649,-97.835462
5753,30.587234,-97.420173
6529,30.387182,-97.648215
6970,30.356704,-97.995169
1364,30.131976,-98.08916
5541,30.745166,-97.565924
2087,30.040561,-97.843567
7035,30.477821,-97.776844
553,30.099935,-97.644403
6642,30.320335,-97.561742
5453,30.641717,-97.63095
942,30.83935,-97.791475
4084,30.391019,-97.733849
4311,30.321926,-97.692126
655,30.417908,-97.324987
3231,30.213466,-97.719567
5802,30.650918,-97.326018
630,30.417448,-97.486022
6097,30.466572,-97.668083
2269,30.223176,-97.952875
1304,30.13787,-98.157966
7068,30.656798,-97.958937
6576,30.147911,-97.767159
2013,29.960048,-97.877361
1279,29.885079,-97.941552
2656,30.30455,-97.825413
1307,30.035229,-98.179821
2365,30.257265,-97.88907
3544,30.285079,-97.712067
6363,30.005201,-98.081408
5484,30.754238,-97.662455
1002,30.509986,-97.55816
4829,30.704407,-97.872008
128,30.525447,-97.687699
5836,30.716776,-97.43482
6774,30.078712,-97.702452
2817,30.280296,-97.609429
6817,30.507128,-97.830759
523,30.166566,-97.569847
2812,30.18045,-97.64624
3987,30.351955,-97.749755
7174,30.547076,-97.234691
1424,30.368436,-98.072766
5492,30.816731,-97.608427
6754,30.113142,-97.807874
88,30.20472,-97.872225
5617,30.324821,-97.480321
2624,30.389427,-97.882163
5394,30.430017,-97.613252
5465,30.640014,-97.555481
5343,30.649881,-97.680663
1379,30.256065,-98.154836
7291,30.449558,-97.72133
6917,30.345564,-97.592243
1292,30.193978,-98.03592
5647,30.499596,-97.39926
2525,30.23398,-97.797025
1446,29.815446,-97.96404
3368,30.256435,-97.720152
4811,30.806588,-97.889688
1933,30.047178,-97.988048
1993,29.902694,-97.902857
2971,30.193356,-97.766271
2072,29.964911,-97.794449
642,30.70538,-97.717715
4337,30.309099,-97.654129
4,30.531993,-97.967226
4959,30.424096,-97.748686
3413,30.241969,-97.689965
5667,30.562234,-97.37597
145,30.505463,-97.648706
5318,30.581657,-97.693204
4592,30.539889,-97.779875
2315,30.236609,-97.83963
1228,30.410299,-97.695637
2125,30.124805,-97.862555
5639,30.533141,-97.486528
1783,30.143977,-97.69652
4680,30.438159,-97.810385
4406,30.362796,-97.696762
2677,30.369555,-97.801644
6485,30.352275,-97.41145
5525,30.700241,-97.651021
2018,29.989237,-97.881134
7221,30.74397,-97.776573
7258,30.558687,-97.569916
5787,30.48948,-97.283439
2218,30.201796,-97.918388
6867,30.473491,-97.594675
3168,30.267428,-97.748816
5601,30.221099,-97.488372
3645,30.312126,-97.746845
1385,30.159139,-98.245775
7016,30.810491,-97.500176
6701,30.327907,-97.926668
1274,29.908608,-98.008721
1694,30.147484,-97.983461
1394,30.219776,-98.118518
5635,30.665192,-97.467715
6971,30.064123,-97.734601
478,30.238356,-97.748602
1247,30.286319,-98.064664
5903,30.60608,-97.859094
1428,29.869138,-97.91176
4510,30.349038,-97.538265
6961,30.478887,-97.722983
5844,30.492348,-97.203126
5296,30.632453,-97.764663
6804,29.836393,-97.976513
1046,30.550258,-97.847503
4536,30.394636,-97.595064
884,30.577103,-97.332716
5831,30.702761,-97.486109
12,30.421566,-97.941993
1336,29.938804,-98.081782
6087,30.029653,-97.689573
2089,30.081515,-97.842408
1794,30.146457,-97.624194
5841,30.730477,-97.339793
6306,30.275481,-97.667238
5678,30.459601,-97.468147
5533,30.836097,-97.706166
3099,30.225515,-97.766549
5176,30.477106,-97.697408
4495,30.256684,-97.554974
4250,30.330932,-97.704343
7129,30.755462,-97.612771
7041,30.669427,-97.914126
7006,30.620736,-97.671194
2513,30.263578,-97.816797
9,30.488843,-98.053644
4754,30.480587,-97.832681
5549,30.693266,-97.574742
6672,30.476395,-97.527509
7164,30.631549,-97.362426
1465,29.810918,-98.003617
1757,30.172017,-97.783811
829,30.021565,-97.896007
3771,30.298117,-97.728457
6009,30.227088,-97.616267
2639,30.305985,-97.782053
971,30.570439,-97.411401
2638,30.322091,-97.815584
6729,30.596499,-97.572197
2723,30.111202,-97.749035
988,30.62155,-97.263684
1700,30.033957,-97.778844
5785,30.469994,-97.347971
2251,30.24336,-98.021496
3319,30.269277,-97.733254
2334,30.175337,-97.85482
4476,30.404124,-97.67596
1360,30.058309,-98.049009
934,30.658855,-97.849323
4954,30.443379,-97.775905
1327,30.096546,-98.216512
6105,30.516128,-97.869258
1246,30.153385,-98.016194
4457,30.344808,-97.674314
4076,30.371068,-97.71978
6547,30.507992,-97.774544
2609,30.341261,-97.881847
1184,30.407188,-97.541096
6168,30.441739,-97.667405
3441,30.214845,-97.701764
6339,30.332184,-97.617231
6202,30.384604,-97.766459
1359,30.048688,-98.097949
865,30.74618,-97.845772
2928,30.179624,-97.74658
856,30.766585,-97.9192
1227,30.766484,-97.479858
7445,30.284944,-97.522124
7449,30.547441,-97.518955
6278,30.231899,-97.877357
1822,30.014425,-97.859689
1335,30.008008,-98.117772
1191,30.593317,-97.519759
5961,30.488563,-97.632541
3501,30.221944,-97.676145
5854,30.489789,-97.802732
1404,30.191378,-98.162277
104,30.579994,-97.799189
6712,30.09504,-97.922736
3880,30.328885,-97.727752
903,29.874089,-97.937071
2582,30.26073,-97.792218
1838,29.925388,-97.947524
113,30.542739,-97.739952
1998,29.932101,-97.888748
4734,30.467894,-97.797175
15,30.398674,-97.83899
1212,30.399374,-97.381992
2094,30.070274,-97.810744
6536,30.366735,-97.614736
4214,30.288941,-97.698191
6822,30.622938,-97.614617
6476,30.351432,-97.474877
2220,30.251859,-97.918722
4646,30.454777,-97.979566
1255,29.887965,-97.953982
6968,30.356862,-98.164399
6609,30.17281,-97.886466
5217,30.509533,-97.686304
5925,30.67461,-97.648126
7357,30.735675,-97.815372
5016,30.476172,-97.766946
5637,30.435115,-97.258868
1712,30.148136,-97.793388
1337,29.981565,-98.139629
1881,29.891985,-97.926032
4202,30.32851,-97.678312
1950,29.926522,-97.83059
1414,30.191338,-98.087434
7208,30.82,-97.856489
4816,30.690112,-97.971308
1382,30.256388,-98.109119
333,30.29537,-97.712677
5106,30.450984,-97.695449
1586,29.834243,-97.928599
1273,29.940677,-98.022744
7334,30.445402,-98.098789
6936,30.290163,-97.572573
7293,30.34765,-97.712183
1480,29.860719,-97.996498
4893,30.539721,-97.613816
2459,30.209203,-97.784479
5701,30.565571,-97.44158
5876,30.538608,-97.815924
2697,29.994679,-97.749232
2096,30.084451,-97.781297
6222,30.424195,-97.71355
6055,30.094597,-97.681508
7123,30.809306,-97.549092
285,30.331953,-97.759891
1310,30.08205,-98.171247
6512,30.19243,-97.621126
3999,30.39712,-97.757812
1833,30.004704,-97.82677
1114,30.659689,-98.030267
5277,30.632714,-97.709984
2811,30.161242,-97.649013
7157,30.616344,-97.304636
1118,30.43398,-98.04384
4777,30.630726,-97.904345
7426,30.328976,-97.638192
5375,30.419243,-97.578894
7223,30.754825,-97.721356
624,30.39936,-97.440864
7175,30.529689,-97.357151
281,30.308832,-97.854872
5584,30.847089,-97.591999
643,30.688418,-97.290934
3017,30.243417,-97.763581
2274,30.315871,-97.97799
2829,30.279511,-97.740918
7215,30.862218,-97.802719
577,30.130563,-97.947983
4631,30.572379,-97.907746
4940,30.525556,-97.708129
2520,30.227708,-97.808527
4577,30.63684,-97.798583
961,30.580698,-97.634348
3113,30.215515,-97.752872
4040,30.367942,-97.741905
5472,30.808492,-97.646445
820,30.093477,-97.86188
6421,30.182452,-97.687031
3456,30.261441,-97.708551
1195,30.674133,-97.519584
5273,30.534694,-97.667672
5302,30.559715,-97.692738
5887,30.560225,-97.822467
5557,30.710929,-97.613472
6462,30.34922,-97.521536
4276,30.320402,-97.707975
6791,29.894229,-97.88193
5529,30.826802,-97.731906
649,30.614327,-97.438935
2507,30.237186,-97.821308
7188,30.481276,-97.321001
7195,30.630489,-97.578627
6195,30.348257,-97.79738
5758,30.55411,-97.407644
4724,30.451705,-97.809791
7136,30.761821,-97.494025
6352,30.574311,-97.382255
6003,30.259098,-97.613629
753,30.019708,-98.232533
1076,30.887022,-97.703803
4544,30.373788,-97.561842
2099,30.079485,-97.824447
6,30.460701,-97.882086
2306,30.213668,-97.830107
2403,30.177279,-97.803448
1356,30.116391,-98.137431
7015,30.792845,-97.426208
5274,30.600619,-97.74742
4385,30.375187,-97.672028
3684,30.29566,-97.758736
947,30.787546,-97.733844
5569,30.775898,-97.627189
4334,30.28123,-97.660393
5022,30.499992,-97.740616
2223,30.284143,-97.875022
6228,30.443701,-97.741828
817,29.993338,-97.863652
4796,30.564475,-97.864139
1371,30.300407,-98.170914
1130,30.407919,-97.715814
7170,30.5629,-97.285197
3143,30.269114,-97.775092
656,30.454708,-97.409402
5509,30.684291,-97.686928
2994,30.187287,-97.74233
605,30.131976,-97.668147
5958,30.485963,-97.648211
1198,30.736201,-97.517674
5979,30.430936,-97.593484
5418,30.454382,-97.556463
5468,30.788481,-97.765364
5642,30.531828,-97.446217
1709,30.140349,-97.832826
1935,30.084815,-98.013181
4995,30.448963,-97.758657
5821,30.725625,-97.46223
5699,30.591685,-97.4754
677,29.952026,-97.983606
4823,30.703334,-97.827939
1113,30.530257,-98.103332
5004,30.480842,-97.74819
5280,30.605336,-97.686652
7279,30.073847,-97.747685
953,30.605496,-97.646404
6521,30.175664,-97.528057
3188,30.239866,-97.731566
1790,30.293797,-97.783106
4584,30.714424,-97.766509
7051,30.842139,-97.885558
21,30.351176,-97.937276
1387,30.188182,-98.214616
1208,30.397977,-97.470816
7453,30.468915,-97.642391
1963,29.955021,-97.83949
615,30.254773,-97.510731
7000,30.737999,-97.936347
610,30.237554,-97.674932
1320,30.008634,-98.051193
2369,30.220274,-97.85766
62,30.245081,-97.858211
6458,30.349086,-97.555105
5561,30.679606,-97.606532
2246,30.167389,-98.008567
532,30.16781,-97.730989
2146,30.058164,-97.833704
2243,30.233343,-97.980853
7072,30.672574,-97.879278
810,30.142626,-97.856741
6517,30.189352,-97.58265
5636,30.663398,-97.364777
7257,30.564129,-97.542984
1537,29.866953,-97.941952
7320,30.136381,-97.598501
6667,30.439846,-97.519717
7152,30.649131,-97.441135
3885,30.323963,-97.735579
6565,30.275587,-97.913174
986,30.504025,-97.182869
6215,30.388591,-97.747739
6831,30.590226,-97.59319
2208,30.218164,-97.894051
5843,30.459642,-97.216268
5614,30.31897,-97.512851
5534,30.728232,-97.642808
5512,30.716327,-97.68201
5552,30.765104,-97.588043
4634,30.518785,-97.894821
5675,30.53446,-97.29119
6113,30.516629,-97.794348
24,30.351794,-97.845706
1724,30.227454,-97.779953
6410,30.276716,-97.80913
5604,30.32804,-97.426761
646,30.617408,-97.492335
2239,30.208494,-97.972777
4979,30.433175,-97.766563
4058,30.349009,-97.726714
870,30.78796,-97.831057
2272,30.303727,-97.997469
4317,30.293381,-97.673043
1330,29.980102,-98.093545
576,30.42248,-97.862996
6736,30.656012,-97.720317
1139,30.413554,-97.623711
3791,30.29303,-97.735724
2006,29.980784,-97.89222
5633,30.602244,-97.247418
7411,30.251368,-97.683482
545,30.123992,-97.702255
5240,30.489776,-97.675302
499,30.200401,-97.668694
7153,30.672918,-97.419748
2814,30.278334,-97.641634
2285,30.391435,-97.937119
4897,30.663053,-97.651271
1766,30.188994,-97.77993
1739,30.341546,-97.781731
330,30.307788,-97.737685
6639,30.477516,-97.501189
7189,30.452564,-97.298518
1981,29.92182,-97.856035
1079,30.670972,-97.244333
1407,30.227215,-98.154469
1185,30.505154,-97.519605
806,30.038809,-97.873747
173,30.431584,-97.679807
4314,30.33548,-97.683978
6715,29.85124,-97.902503
4591,30.852156,-97.746004
2635,30.310491,-97.801552
4644,30.481116,-97.976926
1412,30.159349,-98.068204
4688,30.455006,-97.824879
274,30.341089,-97.750211
6188,30.335009,-97.805752
7163,30.598462,-97.349552
5694,30.476119,-97.4378
6899,30.370834,-97.582899
7319,30.105148,-97.76634
6860,30.482092,-97.610513
694,30.046219,-97.956417
4122,30.384545,-97.734841
5673,30.640229,-97.389129
1491,29.827121,-97.984705
1107,30.106389,-98.270406
7314,30.102734,-97.614224
1423,30.299922,-98.088865
3275,30.265715,-97.741958
6048,30.104882,-97.671659
2765,30.279808,-97.718872
99,30.188004,-97.841393
5458,30.546239,-97.545455
1149,30.409589,-98.109364
1158,30.404545,-97.768691
5269,30.516475,-97.670822
752,30.115504,-98.192023
2257,30.174159,-97.929221
4883,30.534992,-97.60082
6110,30.497393,-97.847197
6483,30.35158,-97.451719
6986,30.352589,-97.642447
6493,30.373892,-97.397909
5308,30.566163,-97.667499
4693,30.422111,-97.78731
4511,30.290951,-97.627772
1275,29.917247,-98.051817
6074,30.060984,-97.691764
1296,30.345872,-98.027208
2690,30.009015,-97.72796
2650,30.281643,-97.842091
4614,30.674731,-97.585937
2187,30.095267,-97.815648
1420,30.237465,-98.065915
