0,1
2941,"(30.165894, -97.769101)"
5110,"(30.461355, -97.696764)"
705,"(29.88051, -97.945474)"
7176,"(30.520885, -97.356753)"
5518,"(30.701581, -97.650522)"
2879,"(30.270125, -97.714709)"
729,"(30.207493, -98.032242)"
4763,"(30.531101, -97.840061)"
401,"(30.261466, -97.586183)"
4039,"(30.364669, -97.742852)"
2366,"(30.25114, -97.896549)"
5715,"(30.636384, -97.469742)"
5417,"(30.429413, -97.572417)"
4823,"(30.703334, -97.827939)"
7460,"(30.014988, -97.860309)"
667,"(29.955213, -98.126496)"
4397,"(30.355992, -97.683184)"
2720,"(30.066423, -97.732168)"
4552,"(30.473105, -97.78044)"
4886,"(30.539912, -97.562729)"
1250,"(30.331214, -98.024116)"
352,"(30.297498, -97.777043)"
2309,"(30.215206, -97.797393)"
6727,"(30.804112, -97.660227)"
1785,"(30.145534, -97.673128)"
6704,"(30.333671, -97.510482)"
5448,"(30.595109, -97.61868)"
5819,"(30.749692, -97.473196)"
7055,"(30.840134, -97.815851)"
1326,"(30.097785, -98.239317)"
1380,"(30.255864, -98.132785)"
6102,"(30.482002, -97.674712)"
963,"(30.605618, -97.407175)"
94,"(30.183883, -97.890011)"
7179,"(30.4626, -97.270295)"
1947,"(29.950177, -97.878941)"
7348,"(30.418653, -97.868632)"
4277,"(30.320888, -97.705478)"
3205,"(30.21579, -97.735121)"
5084,"(30.41504, -97.688076)"
2182,"(30.088967, -97.819233)"
7027,"(30.342401, -97.58648)"
7046,"(30.762865, -97.901905)"
5894,"(30.582455, -97.836598)"
1493,"(29.825198, -97.988915)"
5798,"(30.614793, -97.309366)"
1362,"(30.058932, -98.080648)"
6513,"(30.185545, -97.611935)"
6173,"(30.563078, -97.692814)"
7190,"(30.471719, -97.460888)"
4559,"(30.667956, -97.911038)"
5391,"(30.426332, -97.636435)"
4736,"(30.448693, -97.789883)"
6488,"(30.351951, -97.409778)"
752,"(30.115504, -98.192023)"
3155,"(30.254656, -97.751991)"
7023,"(30.654254, -97.683807)"
2802,"(30.275847, -97.688679)"
5491,"(30.788401, -97.623542)"
5070,"(30.417204, -97.705763)"
5466,"(30.640243, -97.57331)"
6847,"(30.497565, -97.58238)"
694,"(30.046219, -97.956417)"
6174,"(30.254089, -97.808566)"
2374,"(30.227426, -97.860449)"
7334,"(30.445402, -98.098789)"
6552,"(30.523132, -97.773649)"
6054,"(30.097664, -97.677823)"
1697,"(29.963481, -97.777722)"
1921,"(29.892884, -97.917288)"
2608,"(30.33747, -97.864691)"
5584,"(30.847089, -97.591999)"
2821,"(30.302651, -97.653749)"
3421,"(30.240805, -97.689641)"
3998,"(30.381882, -97.765554)"
1034,"(30.718481, -97.340303)"
4,"(30.531993, -97.967226)"
7186,"(30.450452, -97.354343)"
971,"(30.570439, -97.411401)"
3904,"(30.315185, -97.735509)"
1224,"(30.729133, -97.531196)"
1389,"(30.189203, -98.109283)"
6997,"(30.210701, -97.968834)"
4593,"(30.567858, -97.776853)"
986,"(30.504025, -97.182869)"
4589,"(30.819274, -97.777995)"
4086,"(30.39118, -97.733383)"
1403,"(30.198168, -98.161836)"
7312,"(30.252924, -97.531984)"
146,"(30.512273, -97.621085)"
1244,"(30.131643, -98.031699)"
3520,"(30.349399, -97.77182)"
2653,"(30.290327, -97.828309)"
2400,"(30.180485, -97.802237)"
1453,"(29.842559, -97.975355)"
6562,"(30.308998, -97.945282)"
3766,"(30.291879, -97.740848)"
5334,"(30.63292, -97.683571)"
1841,"(29.969026, -97.989404)"
1336,"(29.938804, -98.081782)"
6079,"(30.055686, -97.690118)"
761,"(30.271372, -98.086092)"
2902,"(30.216178, -97.665134)"
5457,"(30.640602, -97.634618)"
1209,"(30.405153, -97.499596)"
5270,"(30.514644, -97.671308)"
6264,"(30.431551, -97.764244)"
4743,"(30.504654, -97.812101)"
7346,"(30.397364, -97.929315)"
7449,"(30.547441, -97.518955)"
4577,"(30.63684, -97.798583)"
4339,"(30.327082, -97.674774)"
967,"(30.675472, -97.416823)"
1711,"(30.140553, -97.797024)"
5500,"(30.725787, -97.671934)"
7207,"(30.812862, -97.512533)"
1332,"(29.987964, -98.111264)"
7067,"(30.654362, -98.016372)"
5557,"(30.710929, -97.613472)"
3583,"(30.340804, -97.702616)"
2190,"(30.100245, -97.781725)"
813,"(30.090338, -97.88967)"
2018,"(29.989237, -97.881134)"
1752,"(30.147217, -97.577793)"
2337,"(30.157165, -97.859768)"
1313,"(30.004317, -98.18761)"
6527,"(30.405637, -97.6623)"
1518,"(29.854864, -97.939497)"
2114,"(30.029776, -97.848174)"
208,"(30.398609, -97.616178)"
5008,"(30.510066, -97.736566)"
1195,"(30.674133, -97.519584)"
1384,"(30.178501, -98.232143)"
6424,"(30.11623, -97.705409)"
7085,"(30.580002, -97.860812)"
5629,"(30.678105, -97.315701)"
5414,"(30.446747, -97.534349)"
4784,"(30.652987, -97.875071)"
5772,"(30.563014, -97.388966)"
5429,"(30.581401, -97.565834)"
7161,"(30.641278, -97.366213)"
3071,"(30.224811, -97.766818)"
5605,"(30.337551, -97.468152)"
4584,"(30.714424, -97.766509)"
2749,"(30.141786, -97.615924)"
3714,"(30.308407, -97.753726)"
1358,"(30.123076, -98.135616)"
2900,"(30.211305, -97.712535)"
4430,"(30.365189, -97.701594)"
1013,"(30.559709, -97.615336)"
1051,"(30.489708, -97.655412)"
23,"(30.374974, -97.834683)"
2970,"(30.191283, -97.767944)"
2816,"(30.285972, -97.630927)"
2507,"(30.237186, -97.821308)"
3194,"(30.237507, -97.725383)"
338,"(30.316334, -97.798815)"
3149,"(30.274037, -97.766178)"
2360,"(30.221946, -97.892219)"
7050,"(30.799574, -97.867794)"
7170,"(30.5629, -97.285197)"
6519,"(30.18218, -97.541159)"
4747,"(30.524532, -97.816494)"
659,"(30.543711, -97.426921)"
5531,"(30.85174, -97.745036)"
1867,"(29.893969, -97.951532)"
1943,"(30.12078, -97.957285)"
7172,"(30.605108, -97.236646)"
5309,"(30.592913, -97.68961)"
803,"(30.012564, -97.752352)"
865,"(30.74618, -97.845772)"
3858,"(30.282924, -97.725376)"
2277,"(30.357365, -97.978713)"
4973,"(30.42328, -97.74884)"
5019,"(30.480555, -97.738199)"
5275,"(30.618451, -97.696667)"
2983,"(30.165435, -97.74138)"
5641,"(30.451534, -97.391454)"
5116,"(30.43038, -97.670478)"
750,"(30.0445, -98.141486)"
6106,"(30.523829, -97.86524)"
151,"(30.454371, -97.816014)"
2137,"(30.046293, -97.840771)"
6934,"(30.29277, -97.569484)"
5828,"(30.718913, -97.428033)"
