0,1
244,"(30.335824, -97.616902)"
3816,"(30.283145, -97.733921)"
5880,"(30.533257, -97.816432)"
88,"(30.20472, -97.872225)"
5242,"(30.481788, -97.664025)"
4999,"(30.411407, -97.729452)"
3209,"(30.2263, -97.743882)"
2053,"(30.013012, -97.861302)"
2278,"(30.354141, -97.96117)"
617,"(30.297379, -97.511156)"
7234,"(30.668359, -97.696225)"
4890,"(30.520135, -97.544642)"
1298,"(30.129515, -98.173062)"
1113,"(30.530257, -98.103332)"
4435,"(30.348201, -97.692554)"
2391,"(30.185679, -97.816079)"
6660,"(30.481878, -97.790151)"
2679,"(30.37739, -97.805007)"
5701,"(30.565571, -97.44158)"
6501,"(30.170031, -97.663328)"
34,"(30.30131, -97.832125)"
2252,"(30.217224, -98.02376)"
1483,"(29.831786, -97.995633)"
5195,"(30.524031, -97.689839)"
1090,"(30.42561, -97.259456)"
6085,"(30.032469, -97.688715)"
4638,"(30.529622, -97.844844)"
2563,"(30.230721, -97.789249)"
3909,"(30.321757, -97.73908)"
5037,"(30.440922, -97.68752)"
3438,"(30.238965, -97.689002)"
4788,"(30.643704, -97.871143)"
578,"(30.113558, -97.857472)"
4301,"(30.333332, -97.705551)"
6882,"(30.464663, -97.592898)"
9,"(30.488843, -98.053644)"
1083,"(30.171221, -97.519633)"
3284,"(30.253005, -97.73648)"
1088,"(30.351976, -97.39802)"
632,"(30.758933, -97.61981)"
2227,"(30.276482, -97.803384)"
178,"(30.440343, -97.825646)"
2939,"(30.180521, -97.76206)"
246,"(30.361619, -97.735446)"
5441,"(30.556066, -97.624359)"
7054,"(30.75532, -97.807921)"
757,"(30.02551, -98.111827)"
6263,"(30.431771, -97.764169)"
5309,"(30.592913, -97.68961)"
4386,"(30.376399, -97.674626)"
7028,"(30.207641, -97.974465)"
80,"(30.224841, -97.835974)"
4365,"(30.319195, -97.660866)"
6022,"(30.171685, -97.627823)"
1367,"(30.257611, -98.169802)"
6654,"(30.503411, -97.752276)"
1871,"(29.888145, -97.945395)"
1100,"(29.930219, -97.813404)"
4848,"(30.412924, -97.651448)"
886,"(30.539989, -97.216877)"
3445,"(30.219997, -97.706785)"
372,"(30.271814, -97.752313)"
7000,"(30.737999, -97.936347)"
6452,"(30.34769, -97.564928)"
2184,"(30.086778, -97.820047)"
12,"(30.421566, -97.941993)"
2357,"(30.244091, -97.863216)"
1770,"(30.210002, -97.779795)"
5889,"(30.566084, -97.826284)"
4367,"(30.376973, -97.709878)"
4229,"(30.306633, -97.704863)"
2681,"(30.392014, -97.838754)"
5540,"(30.734923, -97.587176)"
3369,"(30.257768, -97.723926)"
3995,"(30.394193, -97.74982)"
1718,"(30.164578, -97.77902)"
2271,"(30.238639, -97.918139)"
1940,"(30.117416, -98.027066)"
1085,"(30.217666, -97.479311)"
2213,"(30.307708, -97.927441)"
4754,"(30.480587, -97.832681)"
3520,"(30.349399, -97.77182)"
352,"(30.297498, -97.777043)"
4181,"(30.311489, -97.685023)"
939,"(30.717388, -97.745749)"
625,"(30.367707, -97.520502)"
1113,"(30.530257, -98.103332)"
5418,"(30.454382, -97.556463)"
116,"(30.550837, -97.664092)"
1424,"(30.368436, -98.072766)"
2737,"(30.115064, -97.694848)"
4794,"(30.576412, -97.871701)"
4846,"(30.543863, -97.760202)"
1103,"(29.9607, -97.773983)"
4485,"(30.247968, -97.579125)"
882,"(30.656402, -97.262914)"
1116,"(30.840504, -97.903407)"
2816,"(30.285972, -97.630927)"
3803,"(30.289464, -97.737805)"
5405,"(30.508417, -97.625453)"
4878,"(30.447201, -97.638818)"
470,"(30.251311, -97.772077)"
5764,"(30.568483, -97.409184)"
1085,"(30.217666, -97.479311)"
20,"(30.382464, -97.926677)"
6583,"(30.507056, -97.714996)"
1406,"(30.205647, -98.128349)"
2203,"(30.136175, -97.791399)"
