,lat,long,cluster
1,30.550045,-97.861763,834
2,30.595955,-97.873341,1505
3,30.537706,-97.842574,391
4,30.531993,-97.967226,1710
5,30.49655,-97.901257,573
6,30.460701,-97.882086,541
7,30.498174,-97.827879,1861
8,30.434403,-98.083907,827
9,30.488843,-98.053644,263
10,30.405429,-97.968645,231
11,30.367501,-98.056627,67
12,30.421566,-97.941993,1388
13,30.416288,-97.888347,398
14,30.449261,-97.839977,964
15,30.398674,-97.83899,598
16,30.33372,-98.076591,1755
17,30.320471,-97.972406,1125
18,30.349621,-98.009337,1653
19,30.367501,-97.984566,1170
20,30.382464,-97.926677,500
21,30.351176,-97.937276,500
22,30.373525,-97.86814,1851
23,30.374974,-97.834683,1682
24,30.351794,-97.845706,1902
25,30.221922,-97.974997,1295
26,30.292875,-97.964299,343
27,30.32358,-97.939978,1706
28,30.343668,-97.905759,380
29,30.321831,-97.89921,981
30,30.653697,-97.705243,286
31,30.344763,-97.869942,380
32,30.332143,-97.858595,981
33,30.318718,-97.841425,1864
34,30.30131,-97.832125,1954
35,30.304379,-97.919182,1381
36,30.298805,-97.888816,1381
37,30.352597,-97.921387,380
38,30.308173,-97.871556,981
39,30.351189,-97.779089,296
40,30.384802,-97.744053,681
41,30.288711,-97.833651,1619
42,30.286234,-97.902792,1639
43,30.272366,-98.013199,678
44,30.286428,-97.879621,42
45,30.267169,-97.899068,1098
46,30.287223,-97.86426,574
47,30.513457,-97.665825,1695
48,30.308846,-97.703502,1276
49,30.286457,-97.843688,56
50,30.279555,-97.836009,113
51,30.205053,-97.932402,640
52,30.273341,-97.873192,720
53,30.196482,-97.909655,640
54,30.172804,-97.901713,1194
55,30.260857,-97.851746,56
56,30.259205,-97.829376,671
57,30.247459,-97.825581,671
58,30.235346,-97.819398,282
59,30.25396,-97.895281,702
60,30.24144,-97.879541,237
61,30.246756,-97.872037,1442
62,30.245081,-97.858211,720
63,30.240247,-97.852166,866
64,30.267416,-97.928478,251
65,30.237106,-97.93101,324
66,30.244016,-97.915824,1454
67,30.249879,-97.909155,1372
68,30.238308,-97.892018,223
69,30.244942,-97.985156,1230
70,30.250014,-97.943499,1454
71,30.209143,-97.954558,740
72,30.21593,-97.947086,71
73,30.221875,-97.905353,1791
74,30.210384,-97.884729,1141
75,30.222138,-97.883969,1791
76,30.22221,-97.928999,71
77,30.230631,-97.858915,1554
78,30.229226,-97.850001,1788
79,30.232836,-97.839501,619
80,30.224841,-97.835974,963
81,30.225853,-97.862221,1554
82,30.217987,-97.865677,1234
83,30.220626,-97.849136,195
84,30.214768,-97.858294,120
85,30.214574,-97.836175,1709
86,30.206238,-97.845563,190
87,30.39592,-97.773059,385
88,30.20472,-97.872225,1141
89,30.188692,-97.858353,1948
90,30.194893,-97.937337,911
91,30.209985,-97.920445,640
92,30.191616,-97.895714,1545
93,30.179056,-97.914187,1184
94,30.183883,-97.890011,1545
95,30.342242,-97.809077,82
96,30.166515,-97.868659,1571
97,30.152804,-97.866404,129
98,30.204417,-97.829257,32
99,30.188004,-97.841393,32
100,30.17107,-97.842194,149
101,30.164297,-97.854535,1571
102,30.133666,-97.842915,125
103,30.599148,-97.832171,1370
104,30.579994,-97.799189,600
105,30.589421,-97.756155,715
106,30.614041,-97.692748,248
107,30.627603,-97.663039,1590
108,30.575265,-97.671384,1495
109,30.569989,-97.644672,901
110,30.522036,-97.803089,725
111,30.518674,-97.768768,607
112,30.527329,-97.737027,1336
113,30.542739,-97.739952,465
114,30.540723,-97.693987,784
115,30.544608,-97.683218,160
116,30.550837,-97.664092,1420
117,30.480535,-97.811989,892
118,30.471692,-97.806242,468
119,30.500992,-97.793977,1242
120,30.483751,-97.758083,234
121,30.506262,-97.733466,1212
122,30.516396,-97.710151,1995
123,30.526432,-97.699474,1642
124,30.529538,-97.693185,1477
125,30.530948,-97.677935,123
126,30.537547,-97.657977,430
127,30.537873,-97.628339,1171
128,30.525447,-97.687699,123
129,30.522907,-97.674702,1402
130,30.527937,-97.660354,1072
131,30.514658,-97.684306,591
132,30.517125,-97.675414,767
133,30.468471,-97.609093,284
134,30.51606,-97.649805,879
135,30.520364,-97.690696,145
136,30.510451,-97.681971,85
137,30.512392,-97.675429,1069
138,30.516269,-97.659832,1637
139,30.477235,-97.748408,1968
140,30.499365,-97.699917,641
141,30.506831,-97.681264,1805
142,30.489825,-97.687935,1905
143,30.500887,-97.678514,1805
144,30.503811,-97.668835,1637
145,30.505463,-97.648706,960
146,30.512273,-97.621085,564
147,30.481309,-97.698393,141
148,30.482178,-97.683939,1649
149,30.488674,-97.669035,995
150,30.492029,-97.631009,787
151,30.454371,-97.816014,1358
152,30.460688,-97.804425,72
153,30.463568,-97.786828,1279
154,30.469152,-97.769391,1161
155,30.465101,-97.734708,1429
156,30.473658,-97.703262,126
157,30.460659,-97.68639,1272
158,30.453786,-97.671883,1581
159,30.467254,-97.654187,605
160,30.460126,-97.635163,194
161,30.452107,-97.799555,555
162,30.443651,-97.78093,297
163,30.45527,-97.785175,1161
164,30.458188,-97.771871,1688
165,30.449527,-97.776564,1688
166,30.452449,-97.763846,634
167,30.453141,-97.704426,1675
168,30.446519,-97.76236,634
169,30.442063,-97.755978,665
170,30.442247,-97.731102,1429
171,30.43446,-97.712671,1396
172,30.444289,-97.681327,810
173,30.431584,-97.679807,810
174,30.43806,-97.654831,703
175,30.429712,-97.632319,703
176,30.446884,-97.613692,194
177,30.412276,-97.756928,1926
178,30.440343,-97.825646,964
179,30.433092,-97.812579,773
180,30.426198,-97.80419,1795
181,30.440545,-97.792283,1507
182,30.430965,-97.790268,338
183,30.432578,-97.745077,1085
184,30.419188,-97.836201,941
185,30.409079,-97.806945,344
186,30.418049,-97.785683,1416
187,30.44012,-97.782925,349
188,30.427536,-97.772391,1255
189,30.416096,-97.776502,359
190,30.421041,-97.757609,582
191,30.422727,-97.734935,1782
192,30.421209,-97.724833,1782
193,30.419626,-97.687169,659
194,30.474927,-97.628126,522
195,30.402543,-97.774264,1945
196,30.393165,-97.763188,19
197,30.405087,-97.764003,1988
198,30.40121,-97.75365,1401
199,30.407812,-97.737938,132
200,30.416374,-97.713136,1920
201,30.401368,-97.723123,563
202,30.400383,-97.71107,1804
203,30.412333,-97.7016,1745
204,30.406628,-97.684758,599
205,30.396503,-97.676128,661
206,30.402956,-97.652095,990
207,30.385822,-97.629909,870
208,30.398609,-97.616178,580
209,30.420193,-97.603293,1162
210,30.396551,-97.82942,1063
211,30.271191,-97.642884,525
212,30.395144,-97.78675,1945
213,30.393237,-97.800872,625
214,30.391578,-97.752089,19
215,30.394219,-97.74096,130
216,30.38687,-97.738158,1981
217,30.384116,-97.728635,577
218,30.379353,-97.722328,419
219,30.380339,-97.706944,55
220,30.395126,-97.69242,913
221,30.384254,-97.678624,1834
222,30.380068,-97.668098,458
223,30.383394,-97.660601,1324
224,30.373993,-97.650303,1299
225,30.371901,-97.636824,1572
226,30.357638,-97.621547,1027
227,30.347504,-97.604697,212
228,30.360871,-97.581717,1836
229,30.369183,-97.77245,1130
230,30.383082,-97.754946,1130
231,30.370937,-97.748874,734
232,30.372799,-97.738426,813
233,30.368742,-97.732737,1423
234,30.365825,-97.723827,158
235,30.367008,-97.712527,29
236,30.374445,-97.714456,1207
237,30.362717,-97.703016,447
238,30.365978,-97.701017,1579
239,30.374479,-97.696226,1346
240,30.368666,-97.687912,1834
241,30.362402,-97.676517,459
242,30.35801,-97.662114,49
243,30.340503,-97.634953,934
244,30.335824,-97.616902,795
245,30.3645,-97.740699,1874
246,30.361619,-97.735446,1606
247,30.357612,-97.724918,724
248,30.355442,-97.7182,1139
249,30.356542,-97.710188,1663
250,30.354451,-97.69626,1066
251,30.348438,-97.685483,589
252,30.338319,-97.690935,1441
253,30.337807,-97.664499,1143
254,30.333871,-97.675748,1143
255,30.333513,-97.647877,936
256,30.361286,-97.757804,191
257,30.35516,-97.743801,772
258,30.350866,-97.738792,1727
259,30.355362,-97.734401,1562
260,30.351559,-97.727219,1584
261,30.346115,-97.729428,1082
262,30.348204,-97.718429,572
263,30.342425,-97.721317,572
264,30.340669,-97.709102,868
265,30.33247,-97.696583,233
266,30.32667,-97.685099,233
267,30.324017,-97.664095,247
268,30.32257,-97.651571,165
269,30.3202,-97.639453,1111
270,30.325044,-97.617448,979
271,30.327527,-97.57601,1462
272,30.34417,-97.558384,1216
273,30.347874,-97.76121,1914
274,30.341089,-97.750211,1421
275,30.34102,-97.742547,1421
276,30.337612,-97.733307,926
277,30.334246,-97.725896,1106
278,30.328946,-97.720367,1825
279,30.329197,-97.711138,1838
280,30.324755,-97.698623,776
281,30.308832,-97.854872,52
282,30.353876,-97.789916,1379
283,30.338864,-97.78138,1494
284,30.333799,-97.76676,693
285,30.331953,-97.759891,693
286,30.332227,-97.751829,64
287,30.330139,-97.742742,1444
288,30.330061,-97.735351,1354
289,30.325264,-97.730682,843
290,30.320679,-97.720953,1071
291,30.316483,-97.711051,1974
292,30.318649,-97.702866,1938
293,30.316705,-97.693892,490
294,30.316931,-97.684863,654
295,30.307248,-97.690083,311
296,30.316758,-97.672491,1399
297,30.310034,-97.680821,1183
298,30.300761,-97.67833,1504
299,30.303255,-97.666683,1175
300,30.311495,-97.65656,1667
301,30.295066,-97.655743,803
302,30.305169,-97.6301,1111
303,30.28759,-97.640662,525
304,30.296238,-97.606829,480
305,30.35485,-97.821754,1514
306,30.339491,-97.799011,904
307,30.344399,-97.79414,1906
308,30.334694,-97.786917,658
309,30.330049,-97.804386,1859
310,30.32969,-97.794461,904
311,30.323452,-97.784862,658
312,30.322771,-97.790383,381
313,30.309286,-97.779878,711
314,30.319513,-97.773295,1813
315,30.316399,-97.76201,1879
316,30.322827,-97.748686,1515
317,30.318928,-97.741563,88
318,30.318134,-97.735161,1406
319,30.312636,-97.726851,304
320,30.309394,-97.719694,36
