,lat,long,cluster
1,30.550045,-97.861763,1175
2,30.595955,-97.873341,1525
3,30.537706,-97.842574,50
4,30.531993,-97.967226,437
5,30.49655,-97.901257,2816
6,30.460701,-97.882086,1271
7,30.498174,-97.827879,1690
8,30.434403,-98.083907,842
9,30.488843,-98.053644,2476
10,30.405429,-97.968645,2558
11,30.367501,-98.056627,528
12,30.421566,-97.941993,2165
13,30.416288,-97.888347,1772
14,30.449261,-97.839977,1271
15,30.398674,-97.83899,1039
16,30.33372,-98.076591,537
17,30.320471,-97.972406,1213
18,30.349621,-98.009337,2063
19,30.367501,-97.984566,2072
20,30.382464,-97.926677,2435
21,30.351176,-97.937276,458
22,30.373525,-97.86814,2038
23,30.374974,-97.834683,1601
24,30.351794,-97.845706,310
25,30.221922,-97.974997,2842
26,30.292875,-97.964299,1495
27,30.32358,-97.939978,2992
28,30.343668,-97.905759,2112
29,30.321831,-97.89921,1762
30,30.653697,-97.705243,2644
31,30.344763,-97.869942,2258
32,30.332143,-97.858595,1192
33,30.318718,-97.841425,2272
34,30.30131,-97.832125,2100
35,30.304379,-97.919182,72
36,30.298805,-97.888816,72
37,30.352597,-97.921387,918
38,30.308173,-97.871556,1594
39,30.351189,-97.779089,27
40,30.384802,-97.744053,613
41,30.288711,-97.833651,38
42,30.286234,-97.902792,1697
43,30.272366,-98.013199,267
44,30.286428,-97.879621,1553
45,30.267169,-97.899068,487
46,30.287223,-97.86426,1982
47,30.513457,-97.665825,2986
48,30.308846,-97.703502,2001
49,30.286457,-97.843688,15
50,30.279555,-97.836009,38
51,30.205053,-97.932402,2967
52,30.273341,-97.873192,2702
53,30.196482,-97.909655,2465
54,30.172804,-97.901713,585
55,30.260857,-97.851746,238
56,30.259205,-97.829376,779
57,30.247459,-97.825581,1486
58,30.235346,-97.819398,485
59,30.25396,-97.895281,111
60,30.24144,-97.879541,951
61,30.246756,-97.872037,951
62,30.245081,-97.858211,2197
63,30.240247,-97.852166,1999
64,30.267416,-97.928478,2687
65,30.237106,-97.93101,2792
66,30.244016,-97.915824,845
67,30.249879,-97.909155,1016
68,30.238308,-97.892018,2356
69,30.244942,-97.985156,1163
70,30.250014,-97.943499,469
71,30.209143,-97.954558,2111
72,30.21593,-97.947086,955
73,30.221875,-97.905353,695
74,30.210384,-97.884729,101
75,30.222138,-97.883969,1145
76,30.22221,-97.928999,2132
77,30.230631,-97.858915,2566
78,30.229226,-97.850001,2869
79,30.232836,-97.839501,1602
80,30.224841,-97.835974,1444
81,30.225853,-97.862221,1150
82,30.217987,-97.865677,1896
83,30.220626,-97.849136,2319
84,30.214768,-97.858294,2418
85,30.214574,-97.836175,2913
86,30.206238,-97.845563,2168
87,30.39592,-97.773059,2976
88,30.20472,-97.872225,101
89,30.188692,-97.858353,328
90,30.194893,-97.937337,1758
91,30.209985,-97.920445,2095
92,30.191616,-97.895714,414
93,30.179056,-97.914187,2686
94,30.183883,-97.890011,2506
95,30.342242,-97.809077,2859
96,30.166515,-97.868659,328
97,30.152804,-97.866404,700
98,30.204417,-97.829257,1684
99,30.188004,-97.841393,2618
100,30.17107,-97.842194,2721
101,30.164297,-97.854535,1951
102,30.133666,-97.842915,2865
103,30.599148,-97.832171,456
104,30.579994,-97.799189,1010
105,30.589421,-97.756155,1779
106,30.614041,-97.692748,1219
107,30.627603,-97.663039,2202
108,30.575265,-97.671384,2213
109,30.569989,-97.644672,2878
110,30.522036,-97.803089,908
111,30.518674,-97.768768,1476
112,30.527329,-97.737027,2396
113,30.542739,-97.739952,2743
114,30.540723,-97.693987,2982
115,30.544608,-97.683218,2829
116,30.550837,-97.664092,1027
117,30.480535,-97.811989,984
118,30.471692,-97.806242,2371
119,30.500992,-97.793977,1487
120,30.483751,-97.758083,2854
121,30.506262,-97.733466,1125
122,30.516396,-97.710151,2996
123,30.526432,-97.699474,1537
124,30.529538,-97.693185,645
