,lat,long,cluster
1,30.550045,-97.861763,383
2,30.595955,-97.873341,497
3,30.537706,-97.842574,26
4,30.531993,-97.967226,178
5,30.49655,-97.901257,136
6,30.460701,-97.882086,243
7,30.498174,-97.827879,298
8,30.434403,-98.083907,203
9,30.488843,-98.053644,35
10,30.405429,-97.968645,317
11,30.367501,-98.056627,89
12,30.421566,-97.941993,65
13,30.416288,-97.888347,243
14,30.449261,-97.839977,387
15,30.398674,-97.83899,71
16,30.33372,-98.076591,130
17,30.320471,-97.972406,112
18,30.349621,-98.009337,294
19,30.367501,-97.984566,317
20,30.382464,-97.926677,104
21,30.351176,-97.937276,8
22,30.373525,-97.86814,427
23,30.374974,-97.834683,321
24,30.351794,-97.845706,321
25,30.221922,-97.974997,252
26,30.292875,-97.964299,355
27,30.32358,-97.939978,355
28,30.343668,-97.905759,192
29,30.321831,-97.89921,395
30,30.653697,-97.705243,10
31,30.344763,-97.869942,133
32,30.332143,-97.858595,133
33,30.318718,-97.841425,20
34,30.30131,-97.832125,20
35,30.304379,-97.919182,79
36,30.298805,-97.888816,395
37,30.352597,-97.921387,192
38,30.308173,-97.871556,395
39,30.351189,-97.779089,81
40,30.384802,-97.744053,306
41,30.288711,-97.833651,197
42,30.286234,-97.902792,395
43,30.272366,-98.013199,252
44,30.286428,-97.879621,159
45,30.267169,-97.899068,414
46,30.287223,-97.86426,159
47,30.513457,-97.665825,143
48,30.308846,-97.703502,70
49,30.286457,-97.843688,197
50,30.279555,-97.836009,197
51,30.205053,-97.932402,206
52,30.273341,-97.873192,159
53,30.196482,-97.909655,397
54,30.172804,-97.901713,119
55,30.260857,-97.851746,390
56,30.259205,-97.829376,390
57,30.247459,-97.825581,390
58,30.235346,-97.819398,288
59,30.25396,-97.895281,414
60,30.24144,-97.879541,438
61,30.246756,-97.872037,66
62,30.245081,-97.858211,66
63,30.240247,-97.852166,232
64,30.267416,-97.928478,391
65,30.237106,-97.93101,76
66,30.244016,-97.915824,76
67,30.249879,-97.909155,391
68,30.238308,-97.892018,139
69,30.244942,-97.985156,252
70,30.250014,-97.943499,424
71,30.209143,-97.954558,424
72,30.21593,-97.947086,424
73,30.221875,-97.905353,139
74,30.210384,-97.884729,322
75,30.222138,-97.883969,322
76,30.22221,-97.928999,424
77,30.230631,-97.858915,237
78,30.229226,-97.850001,232
79,30.232836,-97.839501,232
80,30.224841,-97.835974,51
81,30.225853,-97.862221,237
82,30.217987,-97.865677,237
83,30.220626,-97.849136,329
84,30.214768,-97.858294,329
85,30.214574,-97.836175,472
86,30.206238,-97.845563,464
87,30.39592,-97.773059,351
88,30.20472,-97.872225,3
89,30.188692,-97.858353,111
90,30.194893,-97.937337,418
91,30.209985,-97.920445,206
92,30.191616,-97.895714,119
93,30.179056,-97.914187,418
94,30.183883,-97.890011,119
95,30.342242,-97.809077,246
96,30.166515,-97.868659,262
97,30.152804,-97.866404,474
98,30.204417,-97.829257,472
99,30.188004,-97.841393,299
100,30.17107,-97.842194,299
101,30.164297,-97.854535,262
102,30.133666,-97.842915,123
103,30.599148,-97.832171,497
104,30.579994,-97.799189,384
105,30.589421,-97.756155,245
106,30.614041,-97.692748,205
107,30.627603,-97.663039,328
108,30.575265,-97.671384,233
109,30.569989,-97.644672,480
110,30.522036,-97.803089,260
111,30.518674,-97.768768,278
112,30.527329,-97.737027,363
113,30.542739,-97.739952,363
114,30.540723,-97.693987,371
115,30.544608,-97.683218,479
116,30.550837,-97.664092,88
117,30.480535,-97.811989,337
118,30.471692,-97.806242,188
119,30.500992,-97.793977,345
120,30.483751,-97.758083,446
121,30.506262,-97.733466,55
122,30.516396,-97.710151,105
123,30.526432,-97.699474,23
124,30.529538,-97.693185,23
125,30.530948,-97.677935,479
126,30.537547,-97.657977,332
127,30.537873,-97.628339,326
128,30.525447,-97.687699,23
129,30.522907,-97.674702,479
130,30.527937,-97.660354,442
131,30.514658,-97.684306,165
132,30.517125,-97.675414,143
133,30.468471,-97.609093,376
134,30.51606,-97.649805,442
135,30.520364,-97.690696,23
136,30.510451,-97.681971,165
137,30.512392,-97.675429,143
138,30.516269,-97.659832,442
139,30.477235,-97.748408,201
140,30.499365,-97.699917,315
141,30.506831,-97.681264,165
142,30.489825,-97.687935,289
143,30.500887,-97.678514,165
144,30.503811,-97.668835,143
145,30.505463,-97.648706,153
146,30.512273,-97.621085,99
147,30.481309,-97.698393,314
148,30.482178,-97.683939,289
149,30.488674,-97.669035,406
150,30.492029,-97.631009,153
151,30.454371,-97.816014,188
152,30.460688,-97.804425,188
153,30.463568,-97.786828,135
154,30.469152,-97.769391,157
155,30.465101,-97.734708,440
156,30.473658,-97.703262,314
157,30.460659,-97.68639,150
158,30.453786,-97.671883,179
159,30.467254,-97.654187,350
160,30.460126,-97.635163,100
161,30.452107,-97.799555,226
162,30.443651,-97.78093,293
163,30.45527,-97.785175,135
164,30.458188,-97.771871,157
165,30.449527,-97.776564,293
166,30.452449,-97.763846,471
167,30.453141,-97.704426,413
168,30.446519,-97.76236,471
169,30.442063,-97.755978,471
170,30.442247,-97.731102,440
171,30.43446,-97.712671,199
172,30.444289,-97.681327,29
173,30.431584,-97.679807,362
174,30.43806,-97.654831,325
175,30.429712,-97.632319,399
176,30.446884,-97.613692,182
177,30.412276,-97.756928,265
178,30.440343,-97.825646,41
179,30.433092,-97.812579,41
180,30.426198,-97.80419,261
181,30.440545,-97.792283,226
182,30.430965,-97.790268,261
183,30.432578,-97.745077,166
184,30.419188,-97.836201,231
185,30.409079,-97.806945,261
186,30.418049,-97.785683,261
187,30.44012,-97.782925,293
188,30.427536,-97.772391,47
189,30.416096,-97.776502,261
190,30.421041,-97.757609,265
191,30.422727,-97.734935,5
192,30.421209,-97.724833,199
193,30.419626,-97.687169,109
194,30.474927,-97.628126,376
195,30.402543,-97.774264,351
196,30.393165,-97.763188,351
197,30.405087,-97.764003,208
198,30.40121,-97.75365,208
199,30.407812,-97.737938,208
200,30.416374,-97.713136,199
201,30.401368,-97.723123,441
202,30.400383,-97.71107,441
203,30.412333,-97.7016,491
204,30.406628,-97.684758,109
205,30.396503,-97.676128,218
206,30.402956,-97.652095,429
207,30.385822,-97.629909,469
208,30.398609,-97.616178,399
209,30.420193,-97.603293,182
210,30.396551,-97.82942,71
211,30.271191,-97.642884,374
212,30.395144,-97.78675,341
213,30.393237,-97.800872,17
214,30.391578,-97.752089,74
215,30.394219,-97.74096,306
216,30.38687,-97.738158,306
217,30.384116,-97.728635,156
218,30.379353,-97.722328,156
219,30.380339,-97.706944,69
220,30.395126,-97.69242,267
221,30.384254,-97.678624,49
222,30.380068,-97.668098,49
223,30.383394,-97.660601,161
224,30.373993,-97.650303,161
225,30.371901,-97.636824,469
226,30.357638,-97.621547,360
227,30.347504,-97.604697,360
228,30.360871,-97.581717,63
229,30.369183,-97.77245,498
230,30.383082,-97.754946,351
231,30.370937,-97.748874,125
232,30.372799,-97.738426,297
233,30.368742,-97.732737,43
234,30.365825,-97.723827,268
235,30.367008,-97.712527,268
236,30.374445,-97.714456,69
237,30.362717,-97.703016,331
238,30.365978,-97.701017,331
239,30.374479,-97.696226,300
240,30.368666,-97.687912,172
241,30.362402,-97.676517,172
242,30.35801,-97.662114,359
243,30.340503,-97.634953,0
244,30.335824,-97.616902,0
245,30.3645,-97.740699,43
246,30.361619,-97.735446,43
247,30.357612,-97.724918,417
248,30.355442,-97.7182,216
249,30.356542,-97.710188,216
250,30.354451,-97.69626,331
251,30.348438,-97.685483,14
252,30.338319,-97.690935,334
253,30.337807,-97.664499,151
254,30.333871,-97.675748,229
255,30.333513,-97.647877,151
256,30.361286,-97.757804,498
257,30.35516,-97.743801,477
258,30.350866,-97.738792,417
259,30.355362,-97.734401,417
260,30.351559,-97.727219,417
261,30.346115,-97.729428,417
262,30.348204,-97.718429,216
263,30.342425,-97.721317,134
264,30.340669,-97.709102,33
265,30.33247,-97.696583,334
266,30.32667,-97.685099,229
267,30.324017,-97.664095,52
268,30.32257,-97.651571,52
269,30.3202,-97.639453,488
270,30.325044,-97.617448,0
271,30.327527,-97.57601,63
272,30.34417,-97.558384,63
273,30.347874,-97.76121,207
274,30.341089,-97.750211,207
275,30.34102,-97.742547,313
276,30.337612,-97.733307,313
277,30.334246,-97.725896,134
278,30.328946,-97.720367,392
279,30.329197,-97.711138,392
280,30.324755,-97.698623,195
281,30.308832,-97.854872,20
282,30.353876,-97.789916,189
283,30.338864,-97.78138,81
284,30.333799,-97.76676,244
285,30.331953,-97.759891,244
286,30.332227,-97.751829,244
287,30.330139,-97.742742,313
288,30.330061,-97.735351,313
289,30.325264,-97.730682,259
290,30.320679,-97.720953,259
291,30.316483,-97.711051,296
292,30.318649,-97.702866,195
293,30.316705,-97.693892,398
294,30.316931,-97.684863,83
295,30.307248,-97.690083,83
296,30.316758,-97.672491,52
297,30.310034,-97.680821,83
298,30.300761,-97.67833,202
299,30.303255,-97.666683,310
300,30.311495,-97.65656,52
301,30.295066,-97.655743,423
302,30.305169,-97.6301,415
303,30.28759,-97.640662,97
304,30.296238,-97.606829,415
305,30.35485,-97.821754,467
306,30.339491,-97.799011,246
307,30.344399,-97.79414,246
308,30.334694,-97.786917,246
309,30.330049,-97.804386,246
310,30.32969,-97.794461,246
311,30.323452,-97.784862,394
312,30.322771,-97.790383,396
313,30.309286,-97.779878,394
314,30.319513,-97.773295,394
315,30.316399,-97.76201,194
316,30.322827,-97.748686,28
317,30.318928,-97.741563,28
318,30.318134,-97.735161,372
319,30.312636,-97.726851,372
320,30.309394,-97.719694,296
321,30.308606,-97.713911,296
322,30.291673,-97.694168,230
323,30.289535,-97.685312,202
324,30.289232,-97.674631,202
325,30.325211,-97.753043,244
326,30.312346,-97.755063,194
327,30.314377,-97.750453,286
328,30.311422,-97.745119,286
329,30.314075,-97.73437,372
330,30.307788,-97.737685,132
331,30.304357,-97.731148,132
332,30.299796,-97.723839,422
333,30.29537,-97.712677,422
334,30.320631,-97.809788,158
335,30.312617,-97.819504,20
336,30.309044,-97.806541,396
337,30.321536,-97.80207,396
338,30.316334,-97.798815,396
339,30.30976,-97.788871,396
340,30.306907,-97.770739,194
341,30.306124,-97.760175,194
342,30.304992,-97.756618,194
343,30.303114,-97.751664,499
344,30.302486,-97.747239,499
345,30.299443,-97.742797,499
346,30.29791,-97.735674,132
347,30.293084,-97.731181,190
348,30.292608,-97.727363,190
349,30.289092,-97.719395,190
350,30.287942,-97.71165,230
351,30.285307,-97.701787,230
352,30.297498,-97.777043,82
353,30.291148,-97.765987,447
354,30.296874,-97.762541,194
355,30.294723,-97.754442,318
356,30.291274,-97.745937,318
357,30.285813,-97.759194,447
358,30.285682,-97.747977,318
359,30.284903,-97.743151,318
360,30.290562,-97.742966,98
361,30.291737,-97.738284,98
362,30.285008,-97.735154,1
363,30.286926,-97.730248,190
364,30.302516,-97.818543,20
365,30.290736,-97.81223,348
366,30.300199,-97.799899,396
367,30.282386,-97.785116,430
368,30.283673,-97.780701,430
369,30.291216,-97.778414,82
370,30.283819,-97.77024,430
371,30.276309,-97.760494,285
372,30.271814,-97.752313,61
373,30.27412,-97.749925,61
374,30.276649,-97.744971,489
375,30.279904,-97.743468,489
376,30.27864,-97.738873,489
377,30.274993,-97.740269,489
378,30.271875,-97.743373,272
379,30.270625,-97.740184,148
380,30.268129,-97.744601,272
381,30.267364,-97.741182,148
382,30.266557,-97.738381,148
383,30.270537,-97.736137,433
384,30.27371,-97.733763,433
385,30.277326,-97.734167,433
386,30.282229,-97.731517,1
387,30.280795,-97.726061,190
388,30.281401,-97.723909,485
389,30.281893,-97.719348,485
390,30.283713,-97.710834,485
391,30.275893,-97.725163,222
392,30.277056,-97.718792,485
393,30.277541,-97.713445,485
394,30.278174,-97.705986,142
395,30.280929,-97.693411,403
396,30.283335,-97.680221,403
397,30.273431,-97.678189,403
398,30.271453,-97.658848,374
399,30.258811,-97.625628,97
400,30.275689,-97.620276,97
401,30.261466,-97.586183,94
402,30.271327,-97.762089,285
403,30.267524,-97.752761,61
404,30.266418,-97.749402,272
405,30.265461,-97.74621,272
406,30.264483,-97.742416,272
407,30.26393,-97.739258,148
408,30.259453,-97.741275,148
409,30.256691,-97.729877,73
410,30.261901,-97.728685,73
411,30.26616,-97.727423,222
412,30.267962,-97.722003,222
413,30.271109,-97.724436,222
414,30.272163,-97.71745,222
415,30.274171,-97.70587,142
416,30.26789,-97.709691,142
417,30.267381,-97.717513,222
418,30.264093,-97.717284,466
419,30.258199,-97.7169,466
420,30.25203,-97.722292,73
421,30.255176,-97.707214,377
422,30.261117,-97.705899,377
423,30.267416,-97.701265,142
424,30.275623,-97.694831,403
425,30.269491,-97.693985,142
426,30.257898,-97.696217,365
427,30.250378,-97.698255,365
428,30.258971,-97.683975,439
429,30.252393,-97.675294,439
430,30.292047,-97.826542,197
431,30.28751,-97.822447,197
432,30.279794,-97.813683,348
433,30.273914,-97.80577,40
434,30.281114,-97.79798,40
435,30.274313,-97.785524,171
436,30.269571,-97.770276,285
437,30.26379,-97.760172,228
438,30.260843,-97.753126,496
439,30.260153,-97.747288,496
440,30.256479,-97.743315,496
441,30.242798,-97.723846,270
442,30.236178,-97.713168,160
443,30.237023,-97.699893,478
444,30.231273,-97.690977,284
445,30.247651,-97.650627,374
446,30.583031,-97.893907,91
447,30.223538,-97.612743,196
448,30.267841,-97.795414,171
449,30.263639,-97.781663,495
450,30.254015,-97.779408,495
451,30.258468,-97.76513,228
452,30.254583,-97.756802,496
453,30.251548,-97.750714,496
454,30.249125,-97.74487,496
455,30.245798,-97.737968,37
456,30.241422,-97.733277,270
457,30.235658,-97.72957,270
458,30.228055,-97.720917,344
459,30.218025,-97.701277,193
460,30.268739,-97.812312,456
461,30.262467,-97.80009,171
462,30.257482,-97.807261,250
463,30.247294,-97.799248,250
464,30.258186,-97.789672,171
465,30.250663,-97.791535,455
466,30.240428,-97.794477,27
467,30.236384,-97.787768,27
468,30.23376,-97.779795,224
469,30.243976,-97.774117,101
470,30.251311,-97.772077,101
471,30.246241,-97.762422,292
472,30.240171,-97.766963,292
473,30.23169,-97.771333,224
474,30.227782,-97.764302,457
475,30.235703,-97.759859,457
476,30.243373,-97.754573,180
477,30.241194,-97.744361,248
478,30.238356,-97.748602,180
479,30.231751,-97.751904,180
480,30.223802,-97.757112,457
481,30.218675,-97.746881,120
482,30.22543,-97.739635,6
483,30.226569,-97.732462,344
484,30.219904,-97.725743,168
485,30.274722,-97.824877,456
486,30.255952,-97.814911,250
487,30.235591,-97.807971,108
488,30.227237,-97.795844,27
489,30.222209,-97.784683,224
490,30.219404,-97.77595,224
491,30.219174,-97.770121,364
492,30.213479,-97.762511,364
493,30.203546,-97.749497,481
494,30.211973,-97.741725,239
495,30.199342,-97.739267,385
496,30.199427,-97.727805,168
497,30.185219,-97.702259,386
498,30.207604,-97.705674,283
499,30.200401,-97.668694,338
500,30.224758,-97.664314,146
501,30.207631,-97.603752,196
502,30.229851,-97.806673,108
503,30.223724,-97.812739,108
504,30.213238,-97.819622,412
505,30.211461,-97.808543,412
506,30.219912,-97.800719,354
507,30.21642,-97.7932,354
508,30.207136,-97.801517,191
509,30.205816,-97.794697,191
510,30.214075,-97.788886,67
511,30.211162,-97.783613,67
512,30.204494,-97.787716,67
513,30.201568,-97.781077,287
514,30.209973,-97.775986,67
515,30.198303,-97.771828,486
516,30.192167,-97.76229,152
517,30.19005,-97.752272,247
518,30.191559,-97.741838,385
519,30.183884,-97.735419,385
520,30.179088,-97.714023,386
521,30.168372,-97.676869,386
522,30.128184,-97.613068,311
523,30.166566,-97.569847,340
524,30.204201,-97.575259,340
525,30.195468,-97.820597,412
526,30.192671,-97.79731,191
