,lat,long,cluster
1,30.550045,-97.861763,633
2,30.595955,-97.873341,365
3,30.537706,-97.842574,588
4,30.531993,-97.967226,759
5,30.49655,-97.901257,757
6,30.460701,-97.882086,486
7,30.498174,-97.827879,248
8,30.434403,-98.083907,469
9,30.488843,-98.053644,483
10,30.405429,-97.968645,30
11,30.367501,-98.056627,57
12,30.421566,-97.941993,1411
13,30.416288,-97.888347,231
14,30.449261,-97.839977,1235
15,30.398674,-97.83899,840
16,30.33372,-98.076591,852
17,30.320471,-97.972406,1309
18,30.349621,-98.009337,1396
19,30.367501,-97.984566,488
20,30.382464,-97.926677,1071
21,30.351176,-97.937276,1373
22,30.373525,-97.86814,277
23,30.374974,-97.834683,480
24,30.351794,-97.845706,277
25,30.221922,-97.974997,874
26,30.292875,-97.964299,1309
27,30.32358,-97.939978,449
28,30.343668,-97.905759,535
29,30.321831,-97.89921,359
30,30.653697,-97.705243,1358
31,30.344763,-97.869942,1059
32,30.332143,-97.858595,1490
33,30.318718,-97.841425,1219
34,30.30131,-97.832125,1467
35,30.304379,-97.919182,773
36,30.298805,-97.888816,773
37,30.352597,-97.921387,535
38,30.308173,-97.871556,543
39,30.351189,-97.779089,806
40,30.384802,-97.744053,1435
41,30.288711,-97.833651,641
42,30.286234,-97.902792,1359
43,30.272366,-98.013199,1457
44,30.286428,-97.879621,293
45,30.267169,-97.899068,1264
46,30.287223,-97.86426,293
47,30.513457,-97.665825,1440
48,30.308846,-97.703502,112
49,30.286457,-97.843688,641
50,30.279555,-97.836009,641
51,30.205053,-97.932402,1209
52,30.273341,-97.873192,1478
53,30.196482,-97.909655,1209
54,30.172804,-97.901713,1342
55,30.260857,-97.851746,1478
56,30.259205,-97.829376,266
57,30.247459,-97.825581,1131
58,30.235346,-97.819398,537
59,30.25396,-97.895281,769
60,30.24144,-97.879541,963
61,30.246756,-97.872037,658
62,30.245081,-97.858211,658
63,30.240247,-97.852166,255
64,30.267416,-97.928478,1359
65,30.237106,-97.93101,443
66,30.244016,-97.915824,570
67,30.249879,-97.909155,769
68,30.238308,-97.892018,1007
69,30.244942,-97.985156,903
70,30.250014,-97.943499,1124
71,30.209143,-97.954558,1028
72,30.21593,-97.947086,443
73,30.221875,-97.905353,1014
74,30.210384,-97.884729,1021
75,30.222138,-97.883969,1014
76,30.22221,-97.928999,1260
77,30.230631,-97.858915,739
78,30.229226,-97.850001,1299
79,30.232836,-97.839501,540
80,30.224841,-97.835974,1174
81,30.225853,-97.862221,739
82,30.217987,-97.865677,1162
83,30.220626,-97.849136,1438
84,30.214768,-97.858294,1162
85,30.214574,-97.836175,646
86,30.206238,-97.845563,22
87,30.39592,-97.773059,980
88,30.20472,-97.872225,1021
89,30.188692,-97.858353,1459
90,30.194893,-97.937337,596
91,30.209985,-97.920445,1014
92,30.191616,-97.895714,998
93,30.179056,-97.914187,1209
94,30.183883,-97.890011,1297
95,30.342242,-97.809077,448
96,30.166515,-97.868659,1128
97,30.152804,-97.866404,1128
98,30.204417,-97.829257,780
99,30.188004,-97.841393,1459
100,30.17107,-97.842194,1311
101,30.164297,-97.854535,1128
102,30.133666,-97.842915,814
103,30.599148,-97.832171,365
104,30.579994,-97.799189,87
105,30.589421,-97.756155,530
106,30.614041,-97.692748,585
107,30.627603,-97.663039,1338
108,30.575265,-97.671384,35
109,30.569989,-97.644672,133
110,30.522036,-97.803089,621
111,30.518674,-97.768768,460
112,30.527329,-97.737027,1222
113,30.542739,-97.739952,1257
114,30.540723,-97.693987,938
115,30.544608,-97.683218,323
116,30.550837,-97.664092,35
117,30.480535,-97.811989,1287
118,30.471692,-97.806242,833
119,30.500992,-97.793977,1479
120,30.483751,-97.758083,624
121,30.506262,-97.733466,584
122,30.516396,-97.710151,663
123,30.526432,-97.699474,41
124,30.529538,-97.693185,393
125,30.530948,-97.677935,1215
126,30.537547,-97.657977,996
127,30.537873,-97.628339,493
128,30.525447,-97.687699,1249
129,30.522907,-97.674702,1215
130,30.527937,-97.660354,996
131,30.514658,-97.684306,110
132,30.517125,-97.675414,300
133,30.468471,-97.609093,168
134,30.51606,-97.649805,972
135,30.520364,-97.690696,1428
136,30.510451,-97.681971,412
137,30.512392,-97.675429,837
138,30.516269,-97.659832,1440
139,30.477235,-97.748408,79
140,30.499365,-97.699917,1387
141,30.506831,-97.681264,383
142,30.489825,-97.687935,1092
143,30.500887,-97.678514,338
144,30.503811,-97.668835,1329
145,30.505463,-97.648706,61
146,30.512273,-97.621085,177
147,30.481309,-97.698393,477
148,30.482178,-97.683939,1092
149,30.488674,-97.669035,1077
150,30.492029,-97.631009,263
151,30.454371,-97.816014,577
152,30.460688,-97.804425,661
153,30.463568,-97.786828,707
154,30.469152,-97.769391,462
155,30.465101,-97.734708,1140
156,30.473658,-97.703262,234
157,30.460659,-97.68639,712
158,30.453786,-97.671883,1109
159,30.467254,-97.654187,1006
160,30.460126,-97.635163,94
161,30.452107,-97.799555,577
162,30.443651,-97.78093,1063
163,30.45527,-97.785175,1319
164,30.458188,-97.771871,1319
165,30.449527,-97.776564,1146
166,30.452449,-97.763846,1491
167,30.453141,-97.704426,916
168,30.446519,-97.76236,1237
169,30.442063,-97.755978,1101
170,30.442247,-97.731102,1140
171,30.43446,-97.712671,638
172,30.444289,-97.681327,1386
173,30.431584,-97.679807,1196
174,30.43806,-97.654831,505
175,30.429712,-97.632319,1223
176,30.446884,-97.613692,1408
177,30.412276,-97.756928,758
178,30.440343,-97.825646,185
179,30.433092,-97.812579,185
180,30.426198,-97.80419,828
181,30.440545,-97.792283,1144
182,30.430965,-97.790268,893
183,30.432578,-97.745077,303
184,30.419188,-97.836201,1235
185,30.409079,-97.806945,1230
186,30.418049,-97.785683,1178
187,30.44012,-97.782925,582
188,30.427536,-97.772391,144
189,30.416096,-97.776502,144
190,30.421041,-97.757609,1383
191,30.422727,-97.734935,457
192,30.421209,-97.724833,638
193,30.419626,-97.687169,249
194,30.474927,-97.628126,499
195,30.402543,-97.774264,758
196,30.393165,-97.763188,555
197,30.405087,-97.764003,758
198,30.40121,-97.75365,984
199,30.407812,-97.737938,457
200,30.416374,-97.713136,1488
201,30.401368,-97.723123,130
202,30.400383,-97.71107,1127
203,30.412333,-97.7016,1331
204,30.406628,-97.684758,571
205,30.396503,-97.676128,1111
206,30.402956,-97.652095,505
207,30.385822,-97.629909,876
208,30.398609,-97.616178,1181
209,30.420193,-97.603293,506
210,30.396551,-97.82942,840
211,30.271191,-97.642884,800
212,30.395144,-97.78675,980
213,30.393237,-97.800872,480
214,30.391578,-97.752089,555
215,30.394219,-97.74096,900
216,30.38687,-97.738158,1323
217,30.384116,-97.728635,214
218,30.379353,-97.722328,1163
219,30.380339,-97.706944,529
220,30.395126,-97.69242,1382
221,30.384254,-97.678624,1416
222,30.380068,-97.668098,946
223,30.383394,-97.660601,1015
224,30.373993,-97.650303,1268
225,30.371901,-97.636824,201
226,30.357638,-97.621547,1450
227,30.347504,-97.604697,904
228,30.360871,-97.581717,1057
229,30.369183,-97.77245,70
230,30.383082,-97.754946,1435
231,30.370937,-97.748874,42
232,30.372799,-97.738426,229
233,30.368742,-97.732737,84
234,30.365825,-97.723827,655
235,30.367008,-97.712527,360
236,30.374445,-97.714456,529
237,30.362717,-97.703016,1061
238,30.365978,-97.701017,579
239,30.374479,-97.696226,209
240,30.368666,-97.687912,1416
241,30.362402,-97.676517,1321
242,30.35801,-97.662114,810
243,30.340503,-97.634953,970
244,30.335824,-97.616902,970
245,30.3645,-97.740699,45
246,30.361619,-97.735446,91
247,30.357612,-97.724918,84
248,30.355442,-97.7182,887
249,30.356542,-97.710188,1305
250,30.354451,-97.69626,1391
251,30.348438,-97.685483,1240
252,30.338319,-97.690935,1371
253,30.337807,-97.664499,1213
254,30.333871,-97.675748,446
255,30.333513,-97.647877,842
256,30.361286,-97.757804,1399
257,30.35516,-97.743801,681
258,30.350866,-97.738792,141
259,30.355362,-97.734401,681
260,30.351559,-97.727219,700
261,30.346115,-97.729428,1286
262,30.348204,-97.718429,267
263,30.342425,-97.721317,956
264,30.340669,-97.709102,1053
265,30.33247,-97.696583,1228
266,30.32667,-97.685099,1072
267,30.324017,-97.664095,222
268,30.32257,-97.651571,105
269,30.3202,-97.639453,1500
270,30.325044,-97.617448,952
271,30.327527,-97.57601,1453
272,30.34417,-97.558384,1026
273,30.347874,-97.76121,1409
274,30.341089,-97.750211,1294
275,30.34102,-97.742547,551
276,30.337612,-97.733307,778
277,30.334246,-97.725896,771
278,30.328946,-97.720367,558
279,30.329197,-97.711138,1137
280,30.324755,-97.698623,1228
281,30.308832,-97.854872,293
282,30.353876,-97.789916,70
283,30.338864,-97.78138,388
284,30.333799,-97.76676,170
285,30.331953,-97.759891,374
286,30.332227,-97.751829,551
287,30.330139,-97.742742,583
288,30.330061,-97.735351,778
289,30.325264,-97.730682,1498
290,30.320679,-97.720953,753
291,30.316483,-97.711051,602
292,30.318649,-97.702866,47
293,30.316705,-97.693892,119
294,30.316931,-97.684863,1365
295,30.307248,-97.690083,1315
296,30.316758,-97.672491,1278
297,30.310034,-97.680821,1166
298,30.300761,-97.67833,1166
299,30.303255,-97.666683,526
300,30.311495,-97.65656,408
301,30.295066,-97.655743,1070
302,30.305169,-97.6301,414
303,30.28759,-97.640662,1036
304,30.296238,-97.606829,692
305,30.35485,-97.821754,448
306,30.339491,-97.799011,1455
307,30.344399,-97.79414,660
308,30.334694,-97.786917,410
309,30.330049,-97.804386,410
310,30.32969,-97.794461,1094
311,30.323452,-97.784862,410
312,30.322771,-97.790383,1094
313,30.309286,-97.779878,1091
314,30.319513,-97.773295,1018
315,30.316399,-97.76201,1018
316,30.322827,-97.748686,1392
317,30.318928,-97.741563,1366
318,30.318134,-97.735161,1307
319,30.312636,-97.726851,1485
320,30.309394,-97.719694,631
321,30.308606,-97.713911,1160
322,30.291673,-97.694168,81
323,30.289535,-97.685312,1265
324,30.289232,-97.674631,1295
325,30.325211,-97.753043,374
326,30.312346,-97.755063,1392
327,30.314377,-97.750453,485
328,30.311422,-97.745119,132
329,30.314075,-97.73437,1238
330,30.307788,-97.737685,1238
331,30.304357,-97.731148,120
332,30.299796,-97.723839,682
333,30.29537,-97.712677,370
334,30.320631,-97.809788,1261
335,30.312617,-97.819504,627
336,30.309044,-97.806541,652
337,30.321536,-97.80207,1094
338,30.316334,-97.798815,1094
339,30.30976,-97.788871,1091
340,30.306907,-97.770739,211
341,30.306124,-97.760175,1066
342,30.304992,-97.756618,711
343,30.303114,-97.751664,1242
344,30.302486,-97.747239,762
345,30.299443,-97.742797,762
346,30.29791,-97.735674,556
347,30.293084,-97.731181,66
348,30.292608,-97.727363,696
349,30.289092,-97.719395,1025
350,30.287942,-97.71165,430
351,30.285307,-97.701787,68
352,30.297498,-97.777043,977
