minute,type,VMT,origin_walk,dest_walk,total_walk
25,Arrival,155128.28571428568,13.200000000000001,0.0,13.200000000000001
25,Reallocation,310273.92000000004,0.0,0.0,0.0
25,Ride,73110.40000000001,0.0,0.0,0.0
25,Rideshare,44668.799999999996,0.0,0.0,0.0
26,Arrival,169549.6,156.20000000000002,0.0,156.20000000000002
26,Reallocation,286232.5714285714,0.0,0.0,0.0
26,Ride,129744.6857142857,437.4857142857143,0.0,437.4857142857143
26,Rideshare,138098.40000000002,0.0,0.0,0.0
27,Arrival,150777.792,65.47200000000001,54.912,120.38400000000001
27,Reallocation,256235.84516129034,0.0,0.0,0.0
27,Ride,128792.40000000002,0.0,0.0,0.0
27,Rideshare,34742.399999999994,0.0,0.0,0.0
28,Arrival,152687.4461538461,0.0,28.430769230769233,28.430769230769233
28,Reallocation,197466.0000000002,0.0,0.0,0.0
28,Ride,171283.20000000004,0.0,0.0,0.0
28,Rideshare,244490.40000000002,0.0,0.0,0.0
29,Arrival,139639.75384615388,69.04615384615384,60.92307692307692,129.96923076923076
29,Reallocation,192857.05531914896,0.0,0.0,0.0
29,Ride,101640.0,0.0,0.0,0.0
29,Rideshare,126033.6,0.0,0.0,0.0
30,Arrival,144908.34285714288,60.34285714285714,47.77142857142857,108.11428571428571
30,Reallocation,298267.19999999995,0.0,0.0,0.0
30,Ride,154000.0,46.93333333333333,0.0,46.93333333333333
30,Rideshare,252806.3999999999,0.0,0.0,0.0
31,Arrival,172941.59999999998,57.6,0.0,57.6
31,Reallocation,340746.5599999999,0.0,0.0,0.0
31,Ride,36696.0,0.0,0.0,0.0
31,Rideshare,124150.39999999998,0.0,0.0,0.0
32,Arrival,153829.86666666667,48.888888888888886,0.0,48.888888888888886
32,Reallocation,272323.7647058824,0.0,0.0,0.0
32,Ride,49209.6,686.4000000000001,0.0,686.4000000000001
33,Arrival,184631.04000000007,0.0,0.0,0.0
33,Reallocation,225562.74782608685,0.0,0.0,0.0
33,Ride,119655.36000000002,274.56000000000006,0.0,274.56000000000006
33,Rideshare,188179.19999999995,0.0,0.0,0.0
34,Arrival,143328.0,100.8,72.0,172.79999999999998
34,Reallocation,328338.83076923067,0.0,0.0,0.0
34,Ride,154457.6,0.0,0.0,0.0
34,Rideshare,164165.75999999998,0.0,295.68,295.68
35,Arrival,172286.4,33.6,0.0,33.6
35,Reallocation,353144.0,0.0,0.0,0.0
35,Ride,90974.4,0.0,0.0,0.0
35,Rideshare,220360.79999999993,0.0,0.0,0.0
36,Arrival,199579.59999999995,22.0,0.0,22.0
36,Reallocation,328286.0307692308,0.0,0.0,0.0
36,Ride,91132.79999999999,0.0,0.0,0.0
36,Rideshare,174785.59999999998,158.4,0.0,158.4
37,Arrival,175653.86666666673,49.86666666666667,5.866666666666666,55.733333333333334
37,Reallocation,369071.9999999999,0.0,0.0,0.0
37,Ride,160776.00000000003,0.0,0.0,0.0
37,Rideshare,192139.19999999995,616.0,0.0,616.0
38,Arrival,175518.9333333333,258.1333333333333,0.0,258.1333333333333
38,Reallocation,366674.88,0.0,0.0,0.0
38,Ride,39019.20000000001,0.0,0.0,0.0
38,Rideshare,1531.2,0.0,0.0,0.0
39,Arrival,140095.0736842105,88.92631578947368,169.5157894736842,258.4421052631579
39,Reallocation,221755.93846153852,0.0,0.0,0.0
39,Ride,118371.73333333337,0.0,0.0,0.0
39,Rideshare,14968.800000000003,0.0,0.0,0.0
40,Arrival,154666.6,46.20000000000001,52.800000000000004,99.0
40,Reallocation,261743.81538461533,0.0,0.0,0.0
40,Ride,88228.80000000002,0.0,0.0,0.0
41,Arrival,161255.26153846158,127.93846153846155,0.0,127.93846153846155
41,Reallocation,342692.30769230775,0.0,0.0,0.0
41,Ride,58977.60000000002,0.0,0.0,0.0
41,Rideshare,268751.99999999994,0.0,0.0,0.0
42,Arrival,170165.08235294116,0.0,0.0,0.0
42,Reallocation,287760.0000000001,0.0,0.0,0.0
42,Ride,133636.80000000005,0.0,0.0,0.0
42,Rideshare,268765.19999999995,0.0,0.0,0.0
43,Arrival,155932.47999999998,0.0,0.0,0.0
43,Reallocation,293045.2799999999,0.0,0.0,0.0
43,Ride,11774.400000000001,0.0,105.6,105.6
43,Rideshare,40867.2,0.0,0.0,0.0
44,Arrival,168907.19999999998,0.0,0.0,0.0
44,Reallocation,233975.28000000003,0.0,0.0,0.0
44,Ride,108750.40000000004,0.0,0.0,0.0
44,Rideshare,247984.0000000001,0.0,0.0,0.0
45,Arrival,154642.4,36.96,0.0,36.96
45,Reallocation,286506.00000000006,0.0,0.0,0.0
45,Ride,114773.99999999994,0.0,0.0,0.0
45,Rideshare,221372.79999999996,0.0,0.0,0.0
46,Arrival,199770.1894736842,0.0,0.0,0.0
46,Reallocation,261756.0,0.0,0.0,0.0
46,Rideshare,158118.39999999994,0.0,0.0,0.0
47,Arrival,167795.88571428572,0.0,0.0,0.0
47,Reallocation,293656.0,0.0,0.0,0.0
47,Ride,180628.8,0.0,0.0,0.0
47,Rideshare,225720.0,0.0,0.0,0.0
48,Arrival,199219.9578947368,0.0,0.0,0.0
48,Reallocation,271043.5200000001,0.0,0.0,0.0
48,Ride,84501.12000000002,0.0,0.0,0.0
49,Arrival,171817.79999999996,72.6,0.0,72.6
49,Reallocation,391919.99999999994,0.0,0.0,0.0
49,Ride,131472.0,0.0,0.0,0.0
49,Rideshare,57076.8,316.8,0.0,316.8
50,Arrival,215431.04,0.0,66.88000000000001,66.88000000000001
50,Reallocation,256111.67999999993,0.0,0.0,0.0
50,Ride,142507.2,0.0,171.6,171.6
50,Rideshare,132158.40000000002,0.0,0.0,0.0
51,Arrival,177890.08695652173,25.252173913043475,0.0,25.252173913043475
51,Reallocation,419091.1999999999,0.0,0.0,0.0
51,Ride,114696.68571428573,0.0,0.0,0.0
52,Arrival,131278.40000000002,52.800000000000004,0.0,52.800000000000004
52,Reallocation,226184.63999999996,0.0,0.0,0.0
52,Ride,124792.79999999999,0.0,0.0,0.0
52,Rideshare,171511.99999999994,0.0,0.0,0.0
53,Arrival,129697.1076923077,0.0,0.0,0.0
53,Reallocation,321687.7714285714,0.0,0.0,0.0
53,Ride,158730.0,0.0,0.0,0.0
54,Arrival,103093.76000000002,38.72,0.0,38.72
54,Reallocation,308804.5714285715,0.0,0.0,0.0
54,Ride,111355.2,0.0,0.0,0.0
54,Rideshare,166689.59999999995,0.0,0.0,0.0
55,Arrival,202706.23999999996,0.0,0.0,0.0
55,Reallocation,332956.7999999999,0.0,0.0,0.0
55,Ride,5227.2,0.0,0.0,0.0
55,Rideshare,194303.99999999994,0.0,0.0,0.0
56,Arrival,199223.19999999998,90.93333333333334,61.599999999999994,152.53333333333333
56,Reallocation,317109.2571428571,0.0,0.0,0.0
56,Ride,60966.4,0.0,492.8,492.8
56,Rideshare,102300.00000000006,0.0,0.0,0.0
57,Arrival,120961.28000000001,0.0,7.04,7.04
57,Reallocation,144526.80000000005,0.0,0.0,0.0
57,Ride,79270.40000000001,0.0,0.0,0.0
58,Arrival,158411.31428571432,0.0,0.0,0.0
58,Reallocation,315532.79999999993,0.0,0.0,0.0
58,Ride,77721.59999999998,0.0,0.0,0.0
58,Rideshare,117427.20000000003,0.0,0.0,0.0
59,Arrival,189612.72,21.119999999999997,0.0,21.119999999999997
59,Reallocation,224866.4,0.0,0.0,0.0
59,Ride,174292.8000000001,0.0,0.0,0.0
59,Rideshare,100927.2,0.0,0.0,0.0
60,Arrival,155157.19999999998,0.0,0.0,0.0
60,Reallocation,506246.4000000001,0.0,0.0,0.0
60,Ride,152433.6,105.6,0.0,105.6
60,Rideshare,288103.1999999999,0.0,0.0,0.0
61,Arrival,182254.28571428568,199.8857142857143,26.400000000000002,226.28571428571428
61,Reallocation,337444.79999999993,0.0,0.0,0.0
61,Ride,82711.20000000001,224.4,0.0,224.4
61,Rideshare,126931.2,0.0,0.0,0.0
62,Arrival,168074.58461538464,0.0,0.0,0.0
62,Reallocation,128374.40000000002,0.0,0.0,0.0
62,Ride,76137.60000000002,0.0,0.0,0.0
62,Rideshare,97891.20000000001,0.0,0.0,0.0
63,Arrival,173435.57647058825,0.0,0.0,0.0
63,Reallocation,285964.8,0.0,0.0,0.0
63,Rideshare,171916.8,0.0,0.0,0.0
64,Arrival,135949.44,0.0,0.0,0.0
64,Reallocation,277632.9600000001,0.0,0.0,0.0
64,Ride,113898.40000000002,0.0,88.0,88.0
65,Arrival,183366.85714285713,98.05714285714285,0.0,98.05714285714285
65,Reallocation,247948.79999999987,0.0,0.0,0.0
65,Ride,124515.6,79.2,0.0,79.2
66,Arrival,175071.6,74.8,44.0,118.8
66,Reallocation,288270.39999999997,0.0,0.0,0.0
66,Ride,122047.20000000004,0.0,0.0,0.0
66,Rideshare,324350.39999999985,0.0,0.0,0.0
67,Arrival,186888.89999999997,39.6,0.0,39.6
67,Reallocation,312100.8,0.0,0.0,0.0
67,Ride,95163.2,0.0,0.0,0.0
67,Rideshare,332164.7999999998,0.0,0.0,0.0
68,Arrival,214547.51999999996,0.0,0.0,0.0
68,Reallocation,342628.0,0.0,0.0,0.0
68,Ride,71156.8,0.0,140.79999999999998,140.79999999999998
68,Rideshare,86169.6,0.0,0.0,0.0
69,Arrival,168290.09999999998,188.1,0.0,188.1
69,Reallocation,394437.12,0.0,0.0,0.0
69,Ride,141715.19999999998,0.0,0.0,0.0
70,Arrival,236032.49999999997,0.0,0.0,0.0
70,Reallocation,138494.4,0.0,0.0,0.0
70,Ride,78038.4,0.0,0.0,0.0
70,Rideshare,68138.40000000004,739.2,105.6,844.8000000000001
71,Arrival,180845.86666666664,0.0,0.0,0.0
71,Reallocation,195835.2,0.0,0.0,0.0
71,Ride,64046.40000000001,0.0,0.0,0.0
72,Arrival,137954.66666666666,0.0,0.0,0.0
72,Reallocation,193828.8000000001,0.0,0.0,0.0
72,Ride,157964.4,0.0,0.0,0.0
73,Arrival,167359.75384615388,0.0,0.0,0.0
73,Reallocation,287073.6,0.0,0.0,0.0
73,Ride,127517.86666666667,41.06666666666667,46.93333333333333,88.0
73,Rideshare,62937.600000000006,0.0,0.0,0.0
74,Arrival,138718.80000000002,0.0,47.52,47.52
74,Reallocation,390244.8,0.0,0.0,0.0
74,Ride,158336.63999999998,0.0,0.0,0.0
74,Rideshare,126104.00000000004,0.0,0.0,0.0
75,Arrival,156442.3384615385,0.0,0.0,0.0
75,Reallocation,441126.39999999997,0.0,0.0,0.0
75,Ride,169567.19999999998,0.0,0.0,0.0
76,Arrival,222823.54285714283,0.0,0.0,0.0
76,Reallocation,321288.0,0.0,0.0,0.0
76,Ride,187862.40000000002,0.0,0.0,0.0
76,Rideshare,75028.8,0.0,0.0,0.0
