minute,vehicles_at_PUDOs,vehicles_enroute,vehicles reallocating,num_rideshares
0,9765.070588235294,188.28235294117647,46.64705882352941,20.0
1,9555.387096774193,350.16129032258067,94.45161290322581,40.25806451612903
2,9557.65625,347.46875,94.875,38.28125
3,9656.92,271.28,71.8,27.76
4,9636.724137931034,285.7241379310345,77.55172413793103,29.724137931034484
5,9666.238095238095,263.0,70.76190476190476,26.428571428571427
6,9664.75,265.75,69.5,27.75
7,9661.2,268.48,70.32,29.6
8,9640.04347826087,286.17391304347825,73.78260869565217,33.43478260869565
9,9688.8125,250.6875,60.5,27.0
10,9737.423076923076,212.73076923076923,49.84615384615385,20.23076923076923
11,9742.666666666666,207.95238095238096,49.38095238095238,20.0
12,9760.413793103447,194.20689655172413,45.37931034482759,18.79310344827586
13,9748.625,200.58333333333334,50.791666666666664,21.041666666666668
14,9744.733333333334,201.4,53.86666666666667,22.533333333333335
15,9790.6,166.8,42.6,18.2
16,9789.095238095239,166.52380952380952,44.38095238095238,19.238095238095237
17,9801.45,157.85,40.7,17.25
18,9812.266666666666,150.46666666666667,37.266666666666666,15.4
19,9817.75,147.85,34.4,15.0
20,9851.576923076924,124.23076923076923,24.192307692307693,10.961538461538462
21,9846.666666666666,126.91666666666667,26.416666666666668,12.666666666666666
22,9841.722222222223,130.0,28.27777777777778,14.777777777777779
23,9854.5,123.1,22.4,13.65
24,9871.347826086956,111.47826086956522,17.17391304347826,10.521739130434783
25,9876.333333333334,108.0,15.666666666666666,8.5
26,9889.842105263158,98.6842105263158,11.473684210526315,6.315789473684211
27,9888.52380952381,98.76190476190476,12.714285714285714,7.238095238095238
28,9900.9,90.1,9.0,5.0
29,9901.923076923076,87.92307692307692,10.153846153846153,6.153846153846154
30,9909.388888888889,84.61111111111111,6.0,4.444444444444445
31,9907.2,84.1,8.7,7.7
32,9913.09090909091,80.54545454545455,6.363636363636363,5.181818181818182
33,9917.066666666668,79.93333333333334,3.0,2.6666666666666665
34,9918.5,77.9,3.6,3.2
35,9922.5,71.66666666666667,5.833333333333333,5.333333333333333
36,9921.166666666666,76.33333333333333,2.5,2.6666666666666665
37,9927.09090909091,69.0909090909091,3.8181818181818183,4.454545454545454
38,9928.454545454546,69.27272727272727,2.272727272727273,3.0
39,9923.142857142857,75.21428571428571,1.6428571428571428,1.3571428571428572
40,9928.90909090909,67.72727272727273,3.3636363636363638,3.272727272727273
41,9939.222222222223,56.77777777777778,4.0,4.333333333333333
42,9929.846153846154,66.76923076923077,3.3846153846153846,3.4615384615384617
43,9927.0,69.875,3.125,3.5
44,9925.75,70.66666666666667,3.5833333333333335,3.3333333333333335
45,9938.714285714286,58.07142857142857,3.2142857142857144,3.357142857142857
46,9936.666666666666,60.0,3.3333333333333335,2.6666666666666665
47,9939.5,57.5,3.0,2.75
48,9930.5,66.0,3.5,2.1666666666666665
49,9934.75,61.5,3.75,2.25
50,9923.444444444445,71.0,5.555555555555555,2.0
51,9925.90909090909,68.45454545454545,5.636363636363637,2.272727272727273
52,9938.625,56.5,4.875,3.125
53,9941.555555555555,53.77777777777778,4.666666666666667,3.888888888888889
54,9917.555555555555,75.11111111111111,7.333333333333333,4.666666666666667
55,9906.666666666666,83.33333333333333,10.0,5.0
56,9920.6,71.4,8.0,4.4
57,9903.857142857143,86.14285714285714,10.0,5.0
58,9920.0,71.6,8.4,4.4
59,9931.333333333334,61.5,7.166666666666667,3.8333333333333335
60,9905.555555555555,85.0,9.444444444444445,5.0
61,9913.625,77.875,8.5,4.5
62,9918.333333333334,73.33333333333333,8.333333333333334,4.333333333333333
63,9923.2,68.8,8.0,4.2
64,9907.636363636364,83.81818181818181,8.545454545454545,6.181818181818182
65,9917.0,74.85714285714286,8.142857142857142,7.714285714285714
66,9904.833333333334,85.16666666666667,10.0,9.0
67,9904.0,85.5,10.5,9.0
68,9901.42857142857,87.0,11.571428571428571,9.0
69,9920.7,71.2,8.1,7.4
70,9905.25,84.75,10.0,9.0
71,9910.714285714286,79.28571428571429,10.0,9.0
72,9914.916666666666,75.16666666666667,9.916666666666666,8.333333333333334
73,9903.588235294117,84.70588235294117,11.705882352941176,9.0
74,9911.125,78.25,10.625,8.625
75,9899.6,88.2,12.2,10.0
76,9937.8,55.0,7.2,6.4
77,9914.285714285714,75.42857142857143,10.285714285714286,8.571428571428571
78,9900.6,87.2,12.2,10.0
79,9899.416666666666,87.66666666666667,12.916666666666666,9.833333333333334
80,9900.0,87.0,13.0,10.0
81,9901.5,85.5,13.0,10.0
82,9902.5,84.5,13.0,10.0
83,9903.6,83.4,13.0,10.0
84,9905.0,82.0,13.0,7.75
85,9918.5,70.125,11.375,6.125
86,9904.2,82.8,13.0,7.0
87,9922.6,67.0,10.4,4.8
88,9906.6,80.7,12.7,5.5
89,9902.25,84.0,13.75,6.5
90,9900.25,86.16666666666667,13.583333333333334,6.25
91,9901.285714285714,84.71428571428571,14.0,7.0
92,9901.75,84.25,14.0,7.0
93,9904.857142857143,81.14285714285714,14.0,7.0
94,9929.25,60.25,10.5,5.25
95,9907.2,78.8,14.0,7.0
96,9908.42857142857,77.71428571428571,13.857142857142858,7.0
97,9918.0,70.88888888888889,11.11111111111111,6.666666666666667
98,9917.75,69.375,12.875,6.25
99,9906.4,78.6,15.0,6.2
100,9907.8,77.2,15.0,6.0
101,9911.833333333334,73.16666666666667,15.0,6.0
102,9915.0,71.0,14.0,6.0
103,9916.2,69.4,14.4,5.8
104,9914.0,71.0,15.0,6.0
105,9913.307692307691,71.6923076923077,15.0,6.0
106,9917.545454545454,67.54545454545455,14.909090909090908,6.0
107,9921.333333333334,64.66666666666667,14.0,5.333333333333333
108,9923.5,63.5,13.0,5.0
109,9925.0,63.0,12.0,5.0
110,9925.0,64.0,11.0,5.0
111,9922.0,68.0,10.0,5.0
112,9921.25,68.0,10.75,5.0
113,9919.444444444445,68.66666666666667,11.88888888888889,5.0
114,9921.666666666666,66.33333333333333,12.0,4.666666666666667
115,9924.0,64.0,12.0,4.0
116,9923.5,64.5,12.0,4.0
117,9923.75,64.25,12.0,4.0
118,9923.666666666666,64.33333333333333,12.0,3.0
119,9924.5,63.5,12.0,3.0
120,9926.0,62.75,11.25,3.0
121,9927.5,61.5,11.0,3.0
122,9928.2,60.8,11.0,3.0
123,9929.5,59.5,11.0,3.0
124,9933.625,56.75,9.625,2.875
125,9938.0,53.0,9.0,2.0
126,9936.2,53.6,10.2,2.0
127,9941.0,48.3,10.7,1.8
128,9937.125,49.875,13.0,2.0
129,9938.0,49.5,12.5,2.0
130,9941.5,46.75,11.75,2.0
131,9943.0,46.0,11.0,2.0
132,9941.0,47.333333333333336,11.666666666666666,2.0
133,9942.5,45.5,12.0,2.0
134,9942.333333333334,45.666666666666664,12.0,2.0
135,9939.8,48.0,12.2,2.0
136,9940.5,48.5,11.0,2.0
137,9937.333333333334,49.666666666666664,13.0,2.0
138,9935.857142857143,51.42857142857143,12.714285714285714,2.0
139,9937.833333333334,50.166666666666664,12.0,2.0
140,9936.0,52.0,12.0,2.0
141,9935.25,51.75,13.0,1.25
142,9934.333333333334,52.666666666666664,13.0,1.0
143,9936.6,51.0,12.4,1.0
144,9939.0,48.5,12.5,1.125
145,9937.0,49.6,13.4,2.0
146,9937.42857142857,48.57142857142857,14.0,2.0
147,9936.666666666666,49.333333333333336,14.0,2.0
148,9938.5,47.666666666666664,13.833333333333334,2.0
149,9942.666666666666,44.166666666666664,13.166666666666666,2.0
150,9940.25,46.125,13.625,2.0
151,9939.0,47.25,13.75,2.0
152,9938.666666666666,47.333333333333336,14.0,2.0
153,9938.5,47.5,14.0,2.0
154,9936.5,49.5,14.0,2.0
155,9935.0,51.0,14.0,2.0
156,9936.0,50.75,13.25,2.0
157,9934.0,52.0,14.0,2.0
158,9932.0,54.5,13.5,2.0
159,9935.0,52.0,13.0,2.0
160,9935.5,52.5,12.0,2.0
161,9936.6,51.4,12.0,1.8
162,9935.5,52.5,12.0,1.0
163,9937.0,51.0,12.0,1.0
164,9934.8,52.0,13.2,1.6
165,9934.2,51.8,14.0,2.0
166,9933.5,52.5,14.0,2.0
167,9935.0,51.125,13.875,2.0
168,9936.166666666666,50.333333333333336,13.5,2.0
169,9933.142857142857,53.714285714285715,13.142857142857142,2.0
170,9930.0,56.0,14.0,2.0
171,9930.166666666666,55.833333333333336,14.0,1.5
172,9932.0,54.0,14.0,1.0
173,9933.333333333334,52.666666666666664,14.0,1.0
174,9933.5,52.5,14.0,1.0
175,9938.5,48.333333333333336,13.166666666666666,1.0
176,9942.4,44.2,13.4,1.0
177,9940.5,45.5,14.0,1.0
178,9943.0,44.0,13.0,1.0
179,9945.0,42.0,13.0,1.0
180,9942.5,44.5,13.0,1.0
181,9939.0,48.0,13.0,1.0
182,9938.0,49.666666666666664,12.333333333333334,1.0
183,9935.57142857143,52.42857142857143,12.0,1.0
184,9935.5,52.5,12.0,1.0
185,9936.166666666666,51.833333333333336,12.0,1.0
186,9934.9,53.2,11.9,0.2
187,9936.5,52.5,11.0,0.0
188,9937.6,51.4,11.0,0.0
189,9938.285714285714,52.142857142857146,9.571428571428571,0.0
190,9939.6,53.0,7.4,0.0
191,9937.0,55.6,7.4,0.0
192,9937.142857142857,55.857142857142854,7.0,0.0
193,9934.714285714286,56.857142857142854,8.428571428571429,1.4285714285714286
194,9932.333333333334,59.0,8.666666666666666,2.0
195,9930.333333333334,60.5,9.166666666666666,2.1666666666666665
196,9931.0,60.0,9.0,3.0
197,9932.8,58.6,8.6,3.0
198,9930.857142857143,60.714285714285715,8.428571428571429,2.2857142857142856
199,9925.666666666666,63.333333333333336,11.0,2.0
200,9924.5,64.5,11.0,2.0
201,9922.5,66.5,11.0,2.0
202,9919.666666666666,67.66666666666667,12.666666666666666,2.3333333333333335
203,9921.4,66.2,12.4,2.0
204,9918.5,67.5,14.0,2.0
205,9922.714285714286,63.285714285714285,14.0,2.0
206,9925.5,60.5,14.0,2.0
207,9927.8,58.2,14.0,2.0
208,9930.888888888889,55.111111111111114,14.0,2.0
209,9935.0,51.0,14.0,2.0
210,9936.5,49.5,14.0,2.0
211,9937.42857142857,49.142857142857146,13.428571428571429,2.0
212,9938.5,48.5,13.0,2.0
213,9936.8,50.0,13.2,2.0
214,9936.0,51.0,13.0,2.0
215,9933.25,52.0,14.75,2.0
216,9932.5,52.5,15.0,2.0
217,9931.0,53.0,16.0,2.0
218,9930.8,51.8,17.4,2.0
219,9930.5,52.5,17.0,2.0
220,9929.666666666666,52.333333333333336,18.0,2.0
221,9931.5,51.0,17.5,2.0
222,9930.666666666666,52.333333333333336,17.0,2.0
223,9932.0,51.0,17.0,2.0
224,9933.142857142857,50.285714285714285,16.571428571428573,2.0
225,9934.2,49.8,16.0,1.8
226,9933.0,50.666666666666664,16.333333333333332,1.6666666666666667
227,9931.0,52.0,17.0,2.0
228,9929.5,53.5,17.0,2.0
229,9933.0,51.0,16.0,2.0
230,9936.0,49.0,15.0,2.0
231,9937.0,48.75,14.25,1.25
232,9935.875,49.0,15.125,1.0
233,9937.5,46.5,16.0,1.0
234,9938.0,46.0,16.0,1.0
235,9939.5,44.5,16.0,1.0
236,9938.666666666666,44.333333333333336,17.0,1.0
237,9937.5,46.333333333333336,16.166666666666668,1.0
238,9939.857142857143,45.285714285714285,14.857142857142858,1.0
239,9941.0,45.0,14.0,1.2
240,9931.5625,53.375,15.0625,2.0
241,9931.0,53.0,16.0,2.0
242,9929.0,55.0,16.0,2.0
243,9924.0,60.0,16.0,2.0
244,9921.666666666666,63.333333333333336,15.0,2.0
245,9920.75,64.25,15.0,2.0
246,9920.166666666666,65.83333333333333,14.0,2.0
247,9922.0,64.0,14.0,2.0
248,9925.0,61.666666666666664,13.333333333333334,2.0
249,9921.818181818182,65.54545454545455,12.636363636363637,2.0
250,9924.0,64.0,12.0,2.0
251,9924.5,63.5,12.0,2.0
252,9923.636363636364,64.18181818181819,12.181818181818182,2.0
253,9921.833333333334,64.83333333333333,13.333333333333334,2.0
254,9921.5,65.16666666666667,13.333333333333334,2.0
255,9917.214285714286,70.07142857142857,12.714285714285714,2.4285714285714284
256,9916.285714285714,71.42857142857143,12.285714285714286,3.0
257,9918.5,69.5,12.0,3.0
258,9911.166666666666,76.83333333333333,12.0,3.5555555555555554
259,9912.5,75.5,12.0,4.0
260,9911.307692307691,76.84615384615384,11.846153846153847,4.0
262,9905.5,82.5,12.0,4.0
263,9905.0,82.2,12.8,4.0
264,9897.529411764706,88.82352941176471,13.647058823529411,4.352941176470588
265,9897.0,90.0,13.0,5.0
266,9898.0,89.85714285714286,12.142857142857142,5.0
267,9893.7,94.4,11.9,5.0
268,9889.5,98.5,12.0,5.0
269,9888.8,99.0,12.2,5.8
270,9882.916666666666,103.08333333333333,14.0,5.916666666666667
271,9887.5,99.66666666666667,12.833333333333334,5.0
272,9891.0,97.0,12.0,5.0
273,9885.615384615385,102.38461538461539,12.0,4.6923076923076925
274,9880.0,106.33333333333333,13.666666666666666,3.1666666666666665
275,9881.2,104.8,14.0,3.0
276,9875.066666666668,110.93333333333334,14.0,3.0
277,9874.0,112.0,14.0,3.0
278,9877.0,109.6,13.4,3.0
279,9871.176470588236,115.82352941176471,13.0,3.0
280,9872.0,115.0,13.0,2.0
281,9873.8,113.2,13.0,1.8
282,9866.588235294117,119.94117647058823,13.470588235294118,1.0
283,9867.5,117.5,15.0,1.0
284,9866.8,117.7,15.5,1.0
285,9858.588235294117,125.41176470588235,16.0,1.0
286,9858.5,125.5,16.0,1.0
287,9861.0,123.0,16.0,1.0
288,9855.166666666666,129.16666666666666,15.666666666666666,1.0
289,9857.0,128.33333333333334,14.666666666666666,0.0
290,9861.9,124.2,13.9,0.0
291,9857.666666666666,129.83333333333334,12.5,0.0
292,9857.0,131.0,12.0,0.0
293,9864.777777777777,123.22222222222223,12.0,0.0
294,9862.3,125.8,11.9,0.0
295,9863.75,125.25,11.0,0.0
296,9867.0,122.0,11.0,0.0
297,9862.64705882353,126.3529411764706,11.0,0.0
298,9868.875,120.0,11.125,0.0
299,9872.0,116.0,12.0,0.0
300,9849.541666666666,138.45833333333334,12.0,0.0
301,9834.5,153.5,12.0,0.0
302,9837.25,151.375,11.375,0.0
303,9814.711111111112,174.2888888888889,11.0,0.7777777777777778
304,9803.857142857143,185.14285714285714,11.0,1.0
305,9807.0,182.0,11.0,1.0
306,9787.0,202.0,11.0,1.7777777777777777
307,9782.5,207.8,9.7,2.0
308,9789.111111111111,202.88888888888889,8.0,2.0
309,9768.12962962963,223.12962962962962,8.74074074074074,3.5185185185185186
310,9765.0,226.0,9.0,6.0
311,9769.5,221.6,8.9,6.0
312,9746.120689655172,245.13793103448276,8.741379310344827,6.4655172413793105
313,9740.5,251.0,8.5,7.0
314,9746.5,246.5,7.0,7.0
315,9728.923076923076,264.05128205128204,7.0256410256410255,7.897435897435898
316,9713.111111111111,278.8888888888889,8.0,8.0
317,9719.8,272.2,8.0,7.1
318,9697.254901960785,294.7450980392157,8.0,7.1568627450980395
319,9689.5,302.5,8.0,8.0
320,9697.5,295.2,7.3,8.0
321,9682.32558139535,310.6744186046512,7.0,8.651162790697674
322,9681.454545454546,311.54545454545456,7.0,9.0
323,9689.777777777777,303.22222222222223,7.0,9.0
324,9665.25,327.75,7.0,9.0
325,9652.0,341.0,7.0,8.571428571428571
326,9660.625,332.375,7.0,7.125
327,9642.45652173913,350.67391304347825,6.869565217391305,7.0
328,9644.0,350.0,6.0,7.0
329,9657.214285714286,336.7857142857143,6.0,7.0
330,9636.907407407407,356.7962962962963,6.296296296296297,8.925925925925926
331,9628.625,364.375,7.0,9.125
332,9640.411764705883,353.5882352941176,6.0,9.0
333,9629.378378378378,364.5405405405405,6.081081081081081,9.54054054054054
334,9625.083333333334,367.5,7.416666666666667,10.0
335,9634.0,358.0,8.0,10.0
336,9613.818181818182,378.1818181818182,8.0,10.0
337,9616.642857142857,375.35714285714283,8.0,10.0
338,9626.5,365.5,8.0,10.0
339,9609.134615384615,382.4230769230769,8.442307692307692,11.173076923076923
340,9606.90909090909,384.0,9.090909090909092,11.363636363636363
341,9615.0,375.0,10.0,11.0
342,9588.130434782608,401.39130434782606,10.478260869565217,12.695652173913043
343,9580.5,408.5,11.0,15.0
344,9587.5,401.5,11.0,15.0
345,9563.242857142857,424.72857142857146,12.028571428571428,16.014285714285716
346,9574.5,414.8333333333333,10.666666666666666,17.0
347,9591.444444444445,399.55555555555554,9.0,16.27777777777778
348,9575.4,415.02,9.58,18.18
349,9577.266666666666,412.2,10.533333333333333,20.0
350,9588.846153846154,400.15384615384613,11.0,19.153846153846153
351,9563.074626865671,425.3134328358209,11.611940298507463,20.29850746268657
352,9565.133333333333,422.8666666666667,12.0,19.133333333333333
353,9583.5,404.5,12.0,18.0
354,9573.634615384615,413.7307692307692,12.634615384615385,18.634615384615383
355,9579.5,407.5,13.0,19.0
356,9590.846153846154,396.15384615384613,13.0,19.0
357,9567.828125,418.75,13.421875,20.46875
358,9572.0,414.0,14.0,21.647058823529413
359,9586.714285714286,399.2857142857143,14.0,20.285714285714285
360,9448.988095238095,533.8690476190476,17.142857142857142,48.38690476190476
361,9343.833333333334,636.1666666666666,20.0,84.22222222222223
362,9360.1875,619.8125,20.0,83.6875
363,9252.143410852714,725.3449612403101,22.511627906976745,103.28294573643412
364,9170.5,806.5,23.0,123.0
365,9183.5,793.7222222222222,22.77777777777778,122.66666666666667
366,9061.433447098976,914.2389078498294,24.32764505119454,140.96587030716722
367,8997.125,977.9583333333334,24.916666666666668,163.625
368,9016.857142857143,959.1428571428571,24.0,162.47619047619048
369,8900.149090909092,1070.6618181818183,29.189090909090908,187.1418181818182
370,8831.434782608696,1135.1304347826087,33.43478260869565,219.82608695652175
371,8849.40909090909,1117.590909090909,33.0,215.9090909090909
372,8730.81418918919,1230.2905405405406,38.895270270270274,243.72972972972974
373,8668.083333333334,1289.2083333333333,42.708333333333336,276.5833333333333
374,8688.72,1269.12,42.16,273.12
375,8569.295918367347,1378.2687074829932,52.435374149659864,300.89115646258506
376,8522.142857142857,1419.3214285714287,58.535714285714285,330.64285714285717
377,8545.407407407407,1396.6666666666667,57.925925925925924,328.3333333333333
