minute,type,VMT,origin_walk,dest_walk,total_walk
0,Arrival,76750.53913043477,55.095652173913045,57.391304347826086,112.48695652173912
0,Reallocation,36643.2,0.0,0.0,0.0
0,Ride,66142.56,26.4,13.728,40.128
0,Rideshare,170121.60000000003,0.0,0.0,0.0
1,Arrival,87707.0117647059,0.0,102.49411764705883,102.49411764705883
1,Reallocation,17489.999999999996,0.0,0.0,0.0
1,Ride,88123.2,0.0,0.0,0.0
1,Rideshare,51691.200000000004,554.4000000000001,0.0,554.4000000000001
2,Arrival,86085.11999999998,71.28,0.0,71.28
2,Reallocation,60532.26666666667,0.0,0.0,0.0
2,Ride,60139.2,0.0,92.4,92.4
2,Rideshare,122997.59999999993,0.0,0.0,0.0
3,Arrival,77352.0,0.0,0.0,0.0
3,Reallocation,91936.98461538463,0.0,0.0,0.0
3,Ride,114734.4,0.0,0.0,0.0
3,Rideshare,114153.60000000003,0.0,0.0,0.0
4,Arrival,82364.48000000001,77.44,31.68,109.11999999999999
4,Reallocation,117631.79999999997,0.0,0.0,0.0
4,Ride,97901.76,0.0,0.0,0.0
4,Rideshare,37382.4,0.0,0.0,0.0
5,Arrival,63600.9,33.0,42.9,75.9
5,Reallocation,112358.4,0.0,0.0,0.0
5,Ride,78196.8,0.0,0.0,0.0
5,Rideshare,28010.4,0.0,0.0,0.0
6,Arrival,85016.8,0.0,0.0,0.0
6,Reallocation,69478.93333333333,0.0,0.0,0.0
6,Ride,95884.80000000002,0.0,0.0,0.0
6,Rideshare,68798.4,0.0,0.0,0.0
7,Arrival,86039.36000000002,0.0,24.64,24.64
7,Reallocation,91097.59999999999,0.0,0.0,0.0
7,Ride,81351.59999999999,0.0,171.60000000000002,171.60000000000002
8,Arrival,86011.2,0.0,0.0,0.0
8,Reallocation,122981.76000000001,0.0,0.0,0.0
8,Ride,112147.2,0.0,0.0,0.0
8,Rideshare,93033.59999999999,0.0,0.0,0.0
9,Arrival,87733.06666666667,0.0,0.0,0.0
9,Ride,111724.79999999997,0.0,0.0,0.0
10,Arrival,97027.76470588235,52.800000000000004,0.0,52.800000000000004
10,Reallocation,74933.75999999998,0.0,0.0,0.0
10,Ride,55083.600000000006,0.0,0.0,0.0
10,Rideshare,46516.799999999996,0.0,0.0,0.0
11,Arrival,76014.4,112.64,35.2,147.84
11,Reallocation,100541.76,0.0,0.0,0.0
11,Ride,83265.59999999999,0.0,0.0,0.0
12,Arrival,107407.62352941177,0.0,59.01176470588236,59.01176470588236
12,Reallocation,83740.8,0.0,0.0,0.0
12,Ride,106286.40000000001,0.0,0.0,0.0
13,Arrival,115965.3,29.700000000000003,0.0,29.700000000000003
13,Reallocation,96518.4,0.0,0.0,0.0
13,Ride,94300.79999999999,457.59999999999997,0.0,457.59999999999997
13,Rideshare,53063.999999999985,0.0,0.0,0.0
14,Arrival,88646.8,149.60000000000002,30.8,180.4
14,Reallocation,94538.4,0.0,0.0,0.0
14,Ride,30888.0,0.0,0.0,0.0
15,Arrival,104955.08571428571,101.82857142857142,0.0,101.82857142857142
15,Reallocation,113770.79999999999,0.0,0.0,0.0
15,Ride,104755.20000000001,0.0,0.0,0.0
15,Rideshare,87348.8,0.0,0.0,0.0
16,Arrival,103293.04615384617,0.0,0.0,0.0
16,Ride,72309.59999999998,0.0,660.0,660.0
16,Rideshare,377783.99999999994,0.0,0.0,0.0
17,Arrival,91860.26666666668,0.0,0.0,0.0
17,Reallocation,113097.6,0.0,0.0,0.0
17,Ride,43665.6,0.0,0.0,0.0
17,Rideshare,133267.19999999998,0.0,0.0,0.0
18,Arrival,110254.52307692308,81.23076923076923,56.861538461538466,138.09230769230768
18,Reallocation,144144.00000000003,0.0,0.0,0.0
18,Ride,57789.59999999999,0.0,0.0,0.0
18,Rideshare,28248.0,0.0,0.0,0.0
19,Arrival,205090.28571428568,0.0,0.0,0.0
19,Reallocation,124520.00000000004,0.0,0.0,0.0
19,Ride,123456.95999999999,73.92,73.92,147.84
19,Rideshare,53908.8,0.0,0.0,0.0
20,Arrival,80740.8,0.0,0.0,0.0
20,Reallocation,110246.40000000004,0.0,0.0,0.0
20,Ride,39895.67999999999,0.0,0.0,0.0
21,Arrival,112287.99999999999,181.86666666666667,0.0,181.86666666666667
21,Reallocation,111804.0,0.0,0.0,0.0
21,Ride,64996.8,0.0,0.0,0.0
22,Arrival,110884.40000000002,92.39999999999999,0.0,92.39999999999999
22,Reallocation,111425.60000000002,0.0,0.0,0.0
22,Ride,72388.80000000002,0.0,0.0,0.0
23,Arrival,128563.60000000002,0.0,0.0,0.0
23,Reallocation,110774.40000000004,0.0,0.0,0.0
23,Ride,55743.6,198.0,0.0,198.0
23,Rideshare,117532.80000000005,0.0,0.0,0.0
24,Arrival,128298.71999999997,0.0,0.0,0.0
24,Reallocation,117981.6,0.0,0.0,0.0
24,Ride,60667.200000000004,0.0,0.0,0.0
24,Rideshare,123288.00000000004,0.0,0.0,0.0
25,Arrival,87389.86666666665,0.0,0.0,0.0
25,Ride,67830.39999999998,0.0,0.0,0.0
26,Arrival,112015.20000000001,46.2,0.0,46.2
26,Reallocation,116344.79999999999,0.0,0.0,0.0
26,Ride,107546.05714285713,294.1714285714285,0.0,294.1714285714285
27,Arrival,149652.79999999996,21.12,80.96000000000001,102.08
27,Reallocation,162201.60000000003,0.0,0.0,0.0
27,Ride,112081.20000000003,0.0,0.0,0.0
27,Rideshare,103857.6,0.0,0.0,0.0
28,Arrival,114846.6,0.0,0.0,0.0
28,Reallocation,108820.80000000003,0.0,0.0,0.0
28,Ride,123921.60000000005,0.0,0.0,0.0
28,Rideshare,125769.60000000002,0.0,0.0,0.0
29,Arrival,123736.79999999999,0.0,0.0,0.0
29,Reallocation,109876.79999999997,0.0,0.0,0.0
29,Ride,92611.19999999998,0.0,0.0,0.0
30,Arrival,187360.80000000002,0.0,0.0,0.0
30,Reallocation,108820.80000000003,0.0,0.0,0.0
30,Ride,109882.66666666664,46.93333333333333,0.0,46.93333333333333
31,Arrival,153271.80000000002,0.0,0.0,0.0
31,Reallocation,203068.8000000001,0.0,0.0,0.0
31,Ride,45460.799999999996,0.0,0.0,0.0
31,Rideshare,109876.80000000002,0.0,0.0,0.0
32,Arrival,106950.17142857144,0.0,0.0,0.0
32,Reallocation,116687.99999999999,0.0,0.0,0.0
32,Ride,43559.99999999999,686.4000000000001,0.0,686.4000000000001
33,Arrival,76660.80000000002,211.2,0.0,211.2
33,Reallocation,121545.6,0.0,0.0,0.0
33,Ride,93984.0,95.03999999999999,0.0,95.03999999999999
33,Rideshare,11193.599999999999,0.0,0.0,0.0
34,Arrival,134155.99999999997,0.0,0.0,0.0
34,Dropped,158400.0,0.0,0.0,0.0
