minute,vehicles_at_PUDOs,vehicles_enroute,vehicles reallocating,num_rideshares
0,16916.119266055044,1035.7798165137615,2048.1009174311926,127.88990825688073
1,14715.317647058824,1754.9058823529413,3529.7764705882355,217.14117647058825
2,14720.658823529411,1746.2117647058824,3533.1294117647058,214.11764705882354
3,14517.209302325582,1716.1744186046512,3766.6162790697676,206.96511627906978
4,14548.707317073171,1636.4634146341464,3814.829268292683,194.47560975609755
5,14335.853658536585,1689.158536585366,3974.987804878049,199.4268292682927
6,14594.689655172413,1600.2758620689656,3805.0344827586205,185.48275862068965
7,14623.79746835443,1581.4050632911392,3794.7974683544303,180.31645569620252
8,14479.147368421052,1611.2315789473685,3909.621052631579,183.7578947368421
9,14957.258620689656,1466.0862068965516,3576.655172413793,164.24137931034483
10,14389.434210526315,1493.1184210526317,4117.4473684210525,167.17105263157896
11,14337.147727272728,1463.534090909091,4199.318181818182,163.11363636363637
12,14511.4875,1415.7375,4072.775,154.4625
13,14449.75,1424.0208333333333,4126.229166666667,152.32291666666666
14,14469.942857142858,1410.642857142857,4119.414285714286,151.54285714285714
15,14491.837209302326,1399.6627906976744,4108.5,147.62790697674419
16,14514.053333333333,1387.92,4098.026666666667,141.38666666666666
17,14767.515625,1324.671875,3907.8125,128.828125
18,14625.025,1351.1375,4023.8375,129.825
19,14431.767441860466,1268.6046511627908,4299.627906976744,119.19767441860465
20,14545.485714285714,1231.2857142857142,4223.228571428572,111.81428571428572
21,14492.084745762711,1240.3050847457628,4267.610169491525,110.13559322033899
22,14366.035294117648,1257.9529411764706,4376.011764705882,110.23529411764706
23,14615.506666666666,1195.72,4188.7733333333335,105.46666666666667
24,14725.2375,1164.85,4109.9125,100.9125
25,14617.850746268658,1175.6716417910447,4206.477611940299,99.85074626865672
26,15028.945205479453,1084.9178082191781,3886.1369863013697,90.01369863013699
27,14812.54430379747,1112.3291139240507,4075.1265822784812,93.44303797468355
28,14182.887323943662,1127.225352112676,4689.887323943662,92.32394366197182
29,14260.609375,1106.234375,4633.15625,88.265625
30,14744.267441860466,1016.1976744186046,4239.53488372093,78.52325581395348
31,14480.919540229885,1051.7356321839081,4467.3448275862065,79.74712643678161
32,14376.179104477613,1058.0298507462687,4565.79104477612,79.38805970149254
33,14776.721518987342,977.5569620253165,4245.721518987341,71.29113924050633
34,14608.092783505155,989.4948453608248,4402.412371134021,72.8659793814433
35,14540.194029850747,967.2089552238806,4492.5970149253735,70.7910447761194
36,14288.439024390244,943.3048780487804,4768.256097560976,67.59756097560975
37,14418.951612903225,918.5645161290323,4662.4838709677415,63.435483870967744
38,14387.416666666666,917.55,4695.033333333334,62.38333333333333
39,15013.148648648648,821.0675675675676,4165.783783783784,54.0945945945946
40,14654.848484848484,866.469696969697,4478.681818181818,57.96969696969697
41,14776.75,841.9166666666666,4381.333333333333,54.273809523809526
42,14965.554054054053,807.2702702702703,4227.175675675676,49.7972972972973
43,14455.34328358209,842.0149253731344,4702.641791044776,51.507462686567166
44,14507.786666666667,788.08,4704.133333333333,47.053333333333335
45,14581.86301369863,764.4520547945206,4653.684931506849,46.47945205479452
46,14435.936507936507,767.8730158730159,4796.190476190476,47.25396825396825
47,14677.833333333334,733.7692307692307,4588.397435897436,44.23076923076923
48,14884.564102564103,699.1538461538462,4416.282051282052,42.96153846153846
49,14623.134328358208,722.5970149253732,4654.268656716418,44.35820895522388
50,14781.184210526315,682.5526315789474,4536.263157894737,40.973684210526315
51,14835.0375,650.7,4514.2625,37.9375
52,14704.987012987012,654.987012987013,4640.025974025974,38.922077922077925
53,14963.653846153846,620.9423076923077,4415.403846153846,36.73076923076923
54,14950.922077922078,618.1948051948052,4430.883116883117,36.22077922077922
55,14617.650793650793,645.2857142857143,4737.063492063492,35.01587301587302
56,14805.353846153846,618.7846153846153,4575.861538461539,32.52307692307692
57,14719.153846153846,593.4461538461538,4687.4,30.03076923076923
58,14509.283582089553,602.3880597014926,4888.328358208955,29.761194029850746
59,14404.072463768116,601.5217391304348,4994.405797101449,28.6231884057971
60,14757.283783783783,561.0540540540541,4681.6621621621625,25.37837837837838
61,14731.73417721519,551.746835443038,4716.518987341772,23.936708860759495
62,14655.486486486487,531.5135135135135,4813.0,23.324324324324323
63,14594.59420289855,516.0144927536232,4889.391304347826,21.652173913043477
64,14782.743243243243,496.7432432432432,4720.513513513513,20.62162162162162
65,14720.295454545454,494.39772727272725,4785.306818181818,20.511363636363637
66,14780.86301369863,480.2191780821918,4738.917808219178,20.28767123287671
67,14716.012195121952,462.6707317073171,4821.317073170731,20.048780487804876
68,14825.471428571429,448.3142857142857,4726.214285714285,19.885714285714286
69,14991.39393939394,430.6363636363636,4577.969696969697,19.62121212121212
70,14856.81690140845,427.9154929577465,4715.267605633803,19.183098591549296
71,14729.725806451614,418.01612903225805,4852.258064516129,17.870967741935484
72,15092.117647058823,391.6764705882353,4516.205882352941,15.838235294117647
73,15328.794871794871,377.46153846153845,4293.74358974359,15.717948717948717
74,14998.301369863013,381.73972602739724,4619.958904109589,16.47945205479452
75,14718.25,375.2625,4906.4875,16.4
76,14529.910447761195,375.23880597014926,5094.850746268657,15.791044776119403
77,14777.47619047619,359.6547619047619,4862.869047619048,14.821428571428571
78,14997.530303030304,345.8333333333333,4656.636363636364,14.681818181818182
79,15147.543209876543,336.28395061728395,4516.172839506173,14.728395061728396
80,14435.515625,343.15625,5221.328125,15.0
81,14726.579710144928,327.8695652173913,4945.550724637681,13.478260869565217
82,14562.2,322.90909090909093,5114.890909090909,11.036363636363637
83,14720.357142857143,308.8285714285714,4970.814285714286,11.085714285714285
84,14825.215384615385,301.3076923076923,4873.476923076923,11.123076923076923
85,14833.78205128205,294.2692307692308,4871.948717948718,10.551282051282051
86,14893.641791044776,287.86567164179104,4818.492537313433,10.044776119402986
87,14878.140845070422,281.49295774647885,4840.366197183099,9.28169014084507
88,14834.168674698794,273.8313253012048,4892.0,8.795180722891565
89,15355.347826086956,260.39130434782606,4384.260869565217,8.956521739130435
90,15187.460317460318,260.2857142857143,4552.253968253968,8.761904761904763
91,14992.955223880597,256.8358208955224,4750.20895522388,8.537313432835822
92,14953.639344262296,247.72131147540983,4798.639344262295,8.491803278688524
93,15170.338461538462,238.95384615384614,4590.707692307692,8.738461538461538
94,14894.543859649122,233.33333333333334,4872.122807017544,8.526315789473685
95,14908.472727272727,227.16363636363636,4864.363636363636,8.618181818181819
96,14964.633333333333,218.88333333333333,4816.483333333334,8.75
