minute,vehicles_at_PUDOs,vehicles_enroute,vehicles reallocating,num_rideshares
0,14792.5125,176.75,30.7375,17.45
1,14568.40625,363.125,68.46875,37.75
2,14575.90909090909,355.6969696969697,68.39393939393939,38.60606060606061
3,14673.68,277.44,48.88,28.88
4,14676.695652173914,276.39130434782606,46.91304347826087,28.0
5,14684.0,269.1,46.9,26.6
6,14673.36,277.88,48.76,27.88
7,14688.25,263.9,47.85,26.5
8,14658.0625,288.5,53.4375,30.1875
9,14697.793103448275,256.37931034482756,45.827586206896555,26.655172413793103
10,14740.038461538461,221.46153846153845,38.5,21.46153846153846
11,14734.916666666666,224.66666666666666,40.416666666666664,20.333333333333332
12,14764.75,200.42857142857142,34.82142857142857,16.964285714285715
13,14761.21052631579,201.8421052631579,36.94736842105263,18.42105263157895
14,14737.9,219.05,43.05,22.4
15,14782.916666666666,183.875,33.208333333333336,17.5
16,14797.105263157895,172.3684210526316,30.526315789473685,16.68421052631579
17,14821.07142857143,153.07142857142858,25.857142857142858,13.428571428571429
18,14804.444444444445,164.77777777777777,30.77777777777778,14.722222222222221
19,14828.466666666667,145.53333333333333,26.0,11.133333333333333
20,14855.695652173914,124.30434782608695,20.0,8.347826086956522
21,14833.0,140.6,26.4,11.066666666666666
22,14838.235294117647,136.76470588235293,25.0,11.470588235294118
23,14854.9375,125.125,19.9375,10.3125
24,14875.411764705883,110.47058823529412,14.117647058823529,7.9411764705882355
25,14880.833333333334,106.66666666666667,12.5,7.333333333333333
26,14872.538461538461,113.23076923076923,14.23076923076923,7.769230769230769
27,14886.266666666666,103.6,10.133333333333333,5.866666666666666
28,14884.0,104.11764705882354,11.882352941176471,7.764705882352941
29,14893.5,96.75,9.75,7.3125
30,14908.6,87.06666666666666,4.333333333333333,3.3333333333333335
31,14898.09090909091,92.9090909090909,9.0,7.545454545454546
32,14908.166666666666,86.83333333333333,5.0,4.5
33,14909.75,85.4,4.85,3.9
34,14914.727272727272,83.27272727272727,2.0,1.9090909090909092
35,14915.833333333334,79.83333333333333,4.333333333333333,4.666666666666667
36,14918.5,79.0,2.5,3.5
37,14921.0,76.5,2.5,3.5
38,14924.1,73.4,2.5,3.4
39,14919.0,81.0,0.0,0.0
40,14924.692307692309,73.0,2.3076923076923075,2.769230769230769
41,14930.444444444445,66.77777777777777,2.7777777777777777,3.3333333333333335
42,14928.57142857143,69.28571428571429,2.142857142857143,2.0714285714285716
43,14930.9,67.1,2.0,1.2
44,14928.615384615385,70.61538461538461,0.7692307692307693,0.46153846153846156
45,14943.0,54.45454545454545,2.5454545454545454,1.9090909090909092
46,14925.5,74.5,0.0,0.0
47,14931.0,68.33333333333333,0.6666666666666666,0.5
48,14931.833333333334,67.5,0.6666666666666666,0.5
49,14938.5,60.5,1.0,1.0
50,14929.0,71.0,0.0,0.0
51,14932.75,66.6875,0.5625,0.5625
52,14948.636363636364,49.72727272727273,1.6363636363636365,1.6363636363636365
53,14935.714285714286,63.0,1.2857142857142858,1.5714285714285714
54,14924.2,74.0,1.8,2.1
55,14945.0,52.5,2.5,2.5
56,14927.2,70.0,2.8,2.2
57,14928.75,68.625,2.625,2.25
58,14932.0,65.0,3.0,2.2857142857142856
59,14927.8,68.8,3.4,2.2
60,14922.0,74.375,3.625,2.125
61,14935.111111111111,61.666666666666664,3.2222222222222223,2.0
62,14934.5,61.833333333333336,3.6666666666666665,1.6666666666666667
63,14936.333333333334,59.666666666666664,4.0,1.5
64,14924.23076923077,70.61538461538461,5.153846153846154,1.6923076923076923
65,14919.875,73.375,6.75,1.75
66,14924.2,68.8,7.0,1.6
67,14906.0,84.5,9.5,2.0
68,14903.166666666666,86.16666666666667,10.666666666666666,2.0
69,14914.625,75.75,9.625,1.75
70,14904.666666666666,84.33333333333333,11.0,2.0
71,14921.75,68.625,9.625,1.75
72,14908.90909090909,79.27272727272727,11.818181818181818,2.0
73,14910.055555555555,78.5,11.444444444444445,1.8888888888888888
74,14928.857142857143,61.857142857142854,9.285714285714286,1.8571428571428572
75,14899.333333333334,86.66666666666667,14.0,3.0
76,14924.25,65.25,10.5,2.25
77,14900.166666666666,85.83333333333333,14.0,3.0
78,14899.6,86.2,14.2,3.0
79,14898.454545454546,86.63636363636364,14.909090909090908,3.909090909090909
80,14899.0,86.0,15.0,4.0
81,14899.5,85.5,15.0,3.0
82,14901.0,84.0,15.0,3.0
83,14901.833333333334,83.0,15.166666666666666,2.1666666666666665
84,14918.0,68.66666666666667,13.333333333333334,1.6666666666666667
85,14903.75,79.75,16.5,2.0
86,14900.833333333334,82.5,16.666666666666668,2.0
87,14899.666666666666,83.33333333333333,17.0,2.0
88,14903.923076923076,79.07692307692308,17.0,2.0
89,14902.625,79.75,17.625,2.75
90,14899.7,82.1,18.2,3.0
91,14899.857142857143,82.0,18.142857142857142,3.0
92,14901.166666666666,81.83333333333333,17.0,3.0
93,14915.0,70.0,15.0,2.5
94,14901.857142857143,80.0,18.142857142857142,2.5714285714285716
95,14901.714285714286,80.42857142857143,17.857142857142858,3.4285714285714284
96,14902.42857142857,79.57142857142857,18.0,3.0
97,14901.1,81.1,17.8,2.6
98,14902.777777777777,80.55555555555556,16.666666666666668,1.1111111111111112
99,14902.25,81.25,16.5,0.75
100,14921.8,64.6,13.6,0.0
101,14906.875,76.125,17.0,0.0
102,14911.0,73.0,16.0,0.0
103,14912.25,72.5,15.25,0.25
104,14913.0,71.75,15.25,1.0
105,14910.615384615385,72.76923076923077,16.615384615384617,1.0
106,14911.333333333334,71.88888888888889,16.77777777777778,1.4444444444444444
107,14913.5,69.5,17.0,2.0
108,14915.5,67.5,17.0,2.0
109,14937.0,50.25,12.75,1.5
110,14914.0,68.66666666666667,17.333333333333332,2.0
111,14908.4,73.6,18.0,2.0
112,14909.5,72.25,18.25,2.0
113,14909.666666666666,71.44444444444444,18.88888888888889,2.0
114,14913.0,69.0,18.0,2.0
115,14915.4,66.4,18.2,2.0
116,14916.0,66.0,18.0,2.0
117,14916.2,65.4,18.4,2.0
118,14916.0,65.66666666666667,18.333333333333332,2.0
119,14916.5,65.5,18.0,2.0
120,14917.6,64.4,18.0,2.0
121,14920.5,62.25,17.25,2.0
122,14922.2,61.8,16.0,2.0
123,14922.0,61.5,16.5,2.0
124,14923.166666666666,58.833333333333336,18.0,2.0
125,14925.5,56.5,18.0,2.0
126,14926.42857142857,55.57142857142857,18.0,2.0
127,14927.0,54.666666666666664,18.333333333333332,2.0
128,14932.666666666666,50.111111111111114,17.22222222222222,2.0
129,14931.5,50.5,18.0,2.0
