id,lat,long
358,30.285682,-97.747977
359,30.284903,-97.743151
362,30.285008,-97.735154
363,30.286926,-97.730248
373,30.27412,-97.749925
374,30.276649,-97.744971
375,30.279904,-97.743468
376,30.27864,-97.738873
377,30.274993,-97.740269
378,30.271875,-97.743373
379,30.270625,-97.740184
380,30.268129,-97.744601
381,30.267364,-97.741182
382,30.266557,-97.738381
383,30.270537,-97.736137
384,30.27371,-97.733763
385,30.277326,-97.734167
386,30.282229,-97.731517
404,30.266418,-97.749402
405,30.265461,-97.74621
406,30.264483,-97.742416
407,30.26393,-97.739258
408,30.259453,-97.741275
439,30.260153,-97.747288
440,30.256479,-97.743315
849,30.269483,-97.748407
2762,30.27809,-97.744172
2763,30.277798,-97.736099
2776,30.278562,-97.74592
2777,30.277598,-97.746279
2778,30.277633,-97.742615
2779,30.276069,-97.743195
2780,30.276807,-97.739643
2781,30.276002,-97.736773
2782,30.278717,-97.731664
2783,30.277162,-97.73278
2784,30.278471,-97.73074
2785,30.275649,-97.731733
2787,30.273559,-97.731662
2792,30.272944,-97.731
2826,30.276726,-97.739351
2827,30.27895,-97.738418
2828,30.277378,-97.741699
2829,30.279511,-97.740918
2830,30.275694,-97.735708
2831,30.279407,-97.734201
3018,30.252084,-97.748325
3019,30.256886,-97.746562
3020,30.25834,-97.748045
3021,30.258882,-97.745798
3022,30.260412,-97.745264
3023,30.268103,-97.747413
3024,30.267783,-97.746287
3025,30.275468,-97.747072
3026,30.275151,-97.745968
3046,30.26374,-97.746417
3047,30.264089,-97.747649
3048,30.265967,-97.746952
3049,30.269688,-97.745592
3050,30.270073,-97.746957
3051,30.271522,-97.744895
3052,30.272419,-97.748213
3053,30.26867,-97.745963
3054,30.269643,-97.749236
3132,30.260728,-97.748355
3135,30.259477,-97.748904
3156,30.258218,-97.749749
3164,30.26872,-97.749576
3166,30.265618,-97.748341
3167,30.264429,-97.748791
3168,30.267428,-97.748816
3169,30.267777,-97.749757
3170,30.275697,-97.747864
3171,30.273271,-97.747888
3172,30.269871,-97.749152
3173,30.270614,-97.748878
3240,30.262435,-97.74181
3241,30.259309,-97.736984
3242,30.262292,-97.735939
3243,30.261136,-97.737225
3244,30.261503,-97.738556
3245,30.263117,-97.744226
3246,30.261922,-97.73693
3247,30.262686,-97.734949
3248,30.258013,-97.736368
3249,30.261274,-97.734654
3250,30.260557,-97.734895
3251,30.266039,-97.73278
3252,30.265185,-97.730157
3253,30.254688,-97.730026
3254,30.255132,-97.731286
3255,30.260012,-97.730377
3256,30.260602,-97.732048
3258,30.264178,-97.733534
3259,30.268289,-97.731956
3261,30.269839,-97.73132
3262,30.272687,-97.730293
3263,30.271992,-97.73057
3264,30.272001,-97.731404
3266,30.274632,-97.732152
3268,30.271738,-97.730707
3273,30.259687,-97.732432
3275,30.265715,-97.741958
