minute,type,VMT,origin_walk,dest_walk,total_walk
0,Arrival,77335.93043478261,66.57391304347826,0.0,66.57391304347826
0,Reallocation,90089.99999999999,0.0,0.0,0.0
0,Ride,66060.192,26.4,13.728,40.128
0,Rideshare,124748.80000000003,0.0,0.0,0.0
1,Arrival,74053.14782608695,0.0,43.61739130434783,43.61739130434783
1,Reallocation,142824.00000000003,0.0,0.0,0.0
1,Ride,87978.0,0.0,0.0,0.0
1,Rideshare,101481.60000000002,0.0,0.0,0.0
2,Arrival,71973.28695652171,94.12173913043479,20.66086956521739,114.78260869565217
2,Reallocation,63518.40000000001,0.0,0.0,0.0
2,Ride,60139.2,0.0,92.4,92.4
2,Rideshare,231211.19999999987,0.0,0.0,0.0
3,Arrival,48112.11428571429,0.0,0.0,0.0
3,Reallocation,90886.39999999998,0.0,0.0,0.0
3,Ride,115830.0,0.0,0.0,0.0
3,Rideshare,26294.399999999998,0.0,0.0,0.0
4,Arrival,55563.200000000004,189.20000000000002,0.0,189.20000000000002
4,Reallocation,105732.00000000003,0.0,0.0,0.0
4,Ride,98355.84,0.0,0.0,0.0
4,Rideshare,59175.59999999999,0.0,0.0,0.0
5,Arrival,87269.6,123.19999999999999,38.13333333333333,161.33333333333334
5,Ride,73735.19999999998,0.0,0.0,0.0
6,Arrival,75266.40000000001,0.0,0.0,0.0
6,Reallocation,76436.8,0.0,0.0,0.0
6,Ride,95884.80000000002,0.0,0.0,0.0
6,Rideshare,96016.80000000003,0.0,0.0,0.0
7,Arrival,96050.74285714286,0.0,26.400000000000002,26.400000000000002
7,Reallocation,203966.40000000002,0.0,0.0,0.0
7,Ride,79134.0,0.0,171.60000000000002,171.60000000000002
7,Rideshare,116899.19999999998,0.0,0.0,0.0
8,Arrival,84925.86666666665,0.0,0.0,0.0
8,Reallocation,103392.96,0.0,0.0,0.0
8,Ride,109190.4,0.0,0.0,0.0
8,Rideshare,93033.59999999999,0.0,0.0,0.0
9,Arrival,89692.79999999999,60.0,0.0,60.0
9,Reallocation,34584.0,0.0,0.0,0.0
9,Ride,108279.59999999998,0.0,0.0,0.0
9,Rideshare,88941.60000000002,0.0,0.0,0.0
10,Arrival,102348.1411764706,52.800000000000004,0.0,52.800000000000004
10,Reallocation,109806.40000000002,0.0,0.0,0.0
10,Ride,56852.40000000001,0.0,0.0,0.0
10,Rideshare,45117.59999999999,0.0,0.0,0.0
11,Arrival,89267.2,112.64,35.2,147.84
11,Reallocation,63096.00000000003,0.0,0.0,0.0
11,Ride,84497.59999999999,0.0,0.0,0.0
11,Rideshare,138705.60000000003,0.0,0.0,0.0
12,Arrival,90417.36,15.84,60.720000000000006,76.56
12,Reallocation,112543.20000000001,0.0,0.0,0.0
12,Ride,105309.59999999999,0.0,0.0,0.0
13,Arrival,136794.24,0.0,0.0,0.0
13,Reallocation,52641.599999999984,0.0,0.0,0.0
13,Ride,96113.59999999998,457.59999999999997,0.0,457.59999999999997
14,Arrival,102791.04000000001,165.44000000000003,24.64,190.08
14,Reallocation,201115.20000000004,0.0,0.0,0.0
14,Ride,36220.8,0.0,0.0,0.0
14,Rideshare,147681.6,0.0,0.0,0.0
15,Arrival,92515.50000000001,56.1,0.0,56.1
15,Reallocation,107616.96,0.0,0.0,0.0
15,Ride,104755.20000000001,0.0,0.0,0.0
15,Rideshare,376569.5999999999,0.0,0.0,0.0
16,Arrival,116761.91999999998,0.0,66.88000000000001,66.88000000000001
