minute,type,VMT,origin_walk,dest_walk,total_walk
0,Arrival,81947.55555555556,33.24444444444445,0.0,33.24444444444445
0,Reallocation,124050.66666666667,0.0,0.0,0.0
0,Ride,66060.192,26.4,13.728,40.128
0,Rideshare,100091.2,0.0,0.0,0.0
1,Arrival,92276.0347826087,0.0,43.61739130434783,43.61739130434783
1,Reallocation,130649.82857142854,0.0,0.0,0.0
1,Ride,86948.40000000001,0.0,0.0,0.0
1,Rideshare,23654.4,0.0,0.0,0.0
2,Arrival,74335.2,127.2,0.0,127.2
2,Reallocation,103045.80000000002,0.0,0.0,0.0
2,Ride,60139.2,0.0,92.4,92.4
2,Rideshare,119996.79999999994,0.0,0.0,0.0
3,Arrival,65294.399999999994,0.0,0.0,0.0
3,Reallocation,98034.93333333335,0.0,0.0,0.0
3,Ride,115684.8,0.0,0.0,0.0
3,Rideshare,88466.4,554.4000000000001,0.0,554.4000000000001
4,Arrival,58314.66666666666,129.06666666666666,52.8,181.86666666666667
4,Reallocation,33095.04000000001,0.0,0.0,0.0
4,Ride,98355.84,0.0,0.0,0.0
4,Rideshare,37382.4,0.0,0.0,0.0
5,Arrival,61564.8,203.65714285714284,49.028571428571425,252.68571428571428
5,Reallocation,84832.00000000001,0.0,0.0,0.0
5,Ride,74659.19999999998,0.0,0.0,0.0
5,Rideshare,108556.80000000002,0.0,0.0,0.0
6,Arrival,81153.59999999999,0.0,36.96,36.96
6,Reallocation,71457.6,0.0,0.0,0.0
6,Ride,95884.80000000002,0.0,0.0,0.0
6,Rideshare,49896.0,0.0,0.0,0.0
7,Arrival,107606.40000000001,17.6,114.39999999999999,132.0
7,Reallocation,118786.79999999999,0.0,0.0,0.0
7,Ride,80374.79999999999,0.0,171.60000000000002,171.60000000000002
8,Arrival,86090.4,38.13333333333333,0.0,38.13333333333333
8,Reallocation,116670.39999999998,0.0,0.0,0.0
8,Ride,110457.59999999999,0.0,0.0,0.0
8,Rideshare,236491.19999999984,0.0,0.0,0.0
9,Arrival,95228.57142857142,30.17142857142857,0.0,30.17142857142857
9,Reallocation,94696.80000000002,0.0,0.0,0.0
9,Ride,108173.99999999997,0.0,0.0,0.0
9,Rideshare,33052.8,0.0,0.0,0.0
10,Arrival,81905.22352941177,52.800000000000004,0.0,52.800000000000004
10,Reallocation,169558.39999999994,0.0,0.0,0.0
10,Ride,54304.8,0.0,0.0,0.0
10,Rideshare,67610.40000000001,0.0,0.0,0.0
11,Arrival,116986.16470588236,18.63529411764706,102.49411764705883,121.12941176470589
11,Reallocation,146382.72000000003,0.0,0.0,0.0
11,Ride,81100.8,0.0,0.0,0.0
12,Arrival,94524.00000000001,0.0,45.6,45.6
12,Reallocation,67992.18461538461,0.0,0.0,0.0
12,Ride,104588.0,0.0,0.0,0.0
