,0
799,11
800,11
801,173
802,173
803,117
804,117
805,173
806,173
807,61
808,61
809,11
810,11
811,49
812,49
813,218
814,218
815,49
816,49
817,11
818,11
819,136
820,136
821,178
822,178
823,136
824,136
825,65
826,65
827,245
828,245
829,11
830,11
831,81
832,81
833,11
834,11
835,57
836,57
837,9
838,9
839,205
840,205
841,11
842,11
843,128
844,128
845,11
846,11
847,14
848,14
849,11
850,11
851,0
852,0
853,200
854,200
855,103
856,103
857,11
858,14
859,99
860,11
861,244
862,244
863,244
864,244
865,66
866,66
867,9
868,9
869,9
870,9
871,11
872,11
873,149
874,149
875,11
876,11
877,173
878,173
879,243
880,243
881,71
882,71
883,11
884,42
885,229
886,229
887,169
888,169
889,131
890,131
891,42
892,11
893,243
894,243
895,11
896,11
897,173
898,173
899,3
900,3
901,11
902,11
903,87
904,87
905,11
906,11
907,14
908,14
909,14
910,14
911,153
912,153
913,11
914,11
915,128
916,128
917,244
918,244
919,196
920,196
921,126
922,126
923,11
924,11
925,24
926,24
927,11
928,11
929,57
930,57
931,11
932,11
933,14
934,14
935,153
936,153
937,14
938,14
939,11
940,11
941,244
942,244
943,11
944,14
945,99
946,11
947,14
948,14
949,153
950,153
951,99
952,99
953,11
954,11
955,185
956,185
957,11
958,11
959,196
960,196
961,11
962,11
963,221
964,221
965,9
966,9
967,24
968,24
969,11
970,113
971,0
972,0
973,0
974,0
975,131
976,131
977,113
978,126
979,67
980,67
981,108
982,108
983,4
984,4
985,86
986,86
987,126
988,126
989,105
990,105
991,116
992,116
993,229
994,229
995,61
996,61
997,126
998,126
999,156
1000,156
1001,126
1002,126
1003,34
1004,34
1005,0
1006,0
1007,34
1008,34
1009,0
1010,0
1011,126
1012,126
1013,158
1014,158
1015,126
1016,126
1017,19
1018,19
1019,103
1020,103
1021,19
1022,19
1023,210
1024,210
1025,201
1026,201
1027,126
1028,126
1029,219
1030,219
1031,133
1032,133
1033,219
1034,219
1035,126
1036,126
1037,104
1038,104
1039,126
1040,126
1041,153
1042,153
1043,153
1044,153
1045,153
1046,153
1047,126
1048,126
1049,34
1050,34
1051,104
1052,104
1053,192
1054,192
1055,126
1056,126
1057,153
1058,153
1059,126
1060,126
1061,202
1062,202
1063,67
1064,67
1065,190
1066,190
1067,31
1068,31
1069,126
1070,113
1071,4
1072,4
1073,95
1074,95
1075,178
1076,178
1077,119
1078,119
1079,113
1080,126
1081,24
1082,24
1083,126
1084,126
1085,8
1086,8
1087,126
1088,126
1089,126
1090,126
1091,131
1092,131
1093,19
1094,19
1095,19
1096,19
1097,19
1098,19
1099,48
1100,48
1101,48
1102,48
1103,30
1104,30
1105,30
1106,30
1107,30
1108,30
1109,9
1110,9
1111,103
1112,103
1113,103
1114,103
1115,103
1116,103
1117,103
1118,103
1119,126
1120,126
1121,126
1122,126
1123,220
1124,220
1125,126
1126,126
1127,218
1128,218
1129,30
1130,30
1131,0
1132,0
1133,126
1134,126
1135,173
1136,173
1137,99
1138,99
1139,14
1140,14
1141,126
1142,126
1143,49
1144,49
1145,149
1146,149
1147,87
1148,87
1149,2
1150,2
1151,74
1152,74
1153,126
