time,origin,destination,ID
0:00:00,365,1119,1
0:00:00,4746,4569,2
0:00:00,468,6366,3
0:00:00,4485,401,4
0:00:00,4845,4942,5
0:00:00,3604,4382,6
0:00:00,2498,1060,7
0:00:00,4032,3827,8
0:00:00,3766,3788,9
0:00:00,3955,7034,10
0:00:00,3986,1064,11
0:00:00,2825,296,12
0:00:00,3839,3865,13
0:00:00,2760,3652,14
0:00:00,48,1174,15
0:00:00,4886,650,16
0:00:00,4864,5421,17
0:00:00,3474,2954,18
0:00:00,3941,140,19
0:00:00,699,2390,20
0:00:00,4092,191,21
0:00:00,2276,2052,22
0:00:00,2385,1938,23
0:00:00,3570,3419,24
0:00:00,1204,4188,25
0:00:00,6325,4026,26
0:00:00,3889,3772,27
0:00:00,5203,217,28
0:00:00,3875,74,29
0:00:00,2309,2440,30
0:00:00,2566,2104,31
0:00:00,4898,1694,32
0:00:00,1796,996,33
0:00:00,4225,6831,34
0:00:00,3538,3560,35
0:00:00,2091,6111,36
0:00:00,5124,122,37
0:00:00,4277,2337,38
0:00:00,3630,326,39
0:00:00,2758,1394,40
0:00:00,3368,3920,41
0:00:00,6839,2340,42
0:00:00,329,4638,43
0:00:00,476,2763,44
0:00:00,4638,4793,45
0:00:00,2318,3445,46
0:00:00,5029,5143,47
0:00:11,4638,4448,48
0:00:36,5233,4478,49
0:00:57,1723,4206,50
0:01:37,6743,7259,51
0:01:52,3823,6029,52
0:01:55,4638,2848,53
0:01:56,493,2607,54
0:02:00,3532,5605,55
0:02:08,348,406,56
0:02:19,4639,4583,57
0:02:22,4975,3641,58
0:03:02,4638,3062,59
0:03:09,278,5505,60
0:03:51,4638,3019,61
0:03:52,4229,3458,62
0:04:17,480,2279,63
0:04:24,4149,5392,64
0:04:43,5462,4053,65
0:04:54,3192,586,66
0:04:59,4638,2653,67
0:05:30,4966,7020,68
0:05:46,4638,3118,69
0:06:00,4897,5308,70
0:06:27,4969,1508,71
0:06:49,3445,53,72
0:06:50,4844,5399,73
0:07:43,6876,7259,74
0:07:48,4670,2405,75
0:07:57,4638,4793,76
0:07:58,4638,3334,77
0:08:26,4638,2655,78
0:09:00,6189,6174,79
0:09:12,4638,6963,80
0:09:31,2641,4645,81
0:09:49,4638,3316,82
0:10:03,14,5208,83
0:10:31,372,7433,84
0:10:40,4638,4476,85
0:10:45,3019,3062,86
0:11:11,4764,2234,87
0:11:45,3645,2345,88
0:11:56,4638,5196,89
0:12:00,2052,1802,90
0:12:33,1769,4647,91
0:12:36,4764,4266,92
0:12:51,3905,3903,93
0:12:51,4638,2408,94
0:12:55,3356,5375,95
0:13:03,371,5382,96
0:13:08,4764,1164,97
0:13:25,4764,3883,98
0:14:17,4764,111,99
0:15:24,2768,4388,100
0:15:28,7427,569,101
0:16:19,2528,2968,102
0:16:24,4638,386,103
0:17:23,4638,3969,104
0:17:28,1128,4252,105
0:17:54,1709,6397,106
0:18:01,6590,2298,107
0:18:38,161,3234,108
0:19:06,3815,295,109
0:19:09,7013,2052,110
0:19:16,4638,2439,111
0:19:17,3354,7240,112
0:19:21,4638,3815,113
0:20:09,7103,170,114
0:20:26,3531,3987,115
0:20:37,4359,4191,116
0:20:42,4638,3983,117
0:20:55,4267,1775,118
0:21:00,6625,4902,119
0:21:21,480,2153,120
0:22:28,4638,4476,121
0:22:30,3827,2928,122
0:23:15,3802,3605,123
0:23:34,4638,2874,124
0:23:47,3394,2709,125
0:23:50,4764,6817,126
0:24:00,92,2336,127
0:24:01,4638,234,128
0:24:14,7013,4847,129
0:24:15,2150,2464,130
0:24:25,198,88,131
0:24:48,4764,4669,132
0:25:02,4638,3404,133
0:25:22,4301,3764,134
0:25:33,2640,2385,135
0:26:04,4638,1172,136
0:26:16,3519,7015,137
0:26:17,2760,569,138
0:26:17,3832,2052,139
0:26:25,236,3133,140
0:26:31,4213,4662,141
0:26:46,454,3476,142
0:27:00,4757,7459,143
0:27:17,4737,2217,144
0:27:21,6307,397,145
0:27:40,4638,2209,146
0:28:29,358,5293,147
0:29:34,461,6361,148
0:30:00,2308,2386,149
0:30:00,1259,4975,150
0:30:00,4895,3324,151
0:30:13,3279,2894,152
0:30:24,4764,3207,153
0:30:25,4638,2858,154
0:30:28,4638,6185,155
0:30:38,4852,885,156
0:30:53,3357,203,157
0:31:47,4638,4651,158
0:32:44,3307,2417,159
0:33:00,3184,6839,160
0:33:00,5394,6397,161
0:33:26,3563,4413,162
0:33:39,3338,4849,163
0:33:52,4638,3977,164
0:34:15,4764,2443,165
0:34:32,3669,2349,166
0:34:46,4638,6589,167
0:35:33,3460,5122,168
0:36:00,1421,19,169
0:37:31,4764,2419,170
0:37:48,4638,234,171
0:38:03,6309,4320,172
0:39:00,2934,5104,173
0:39:00,6851,3270,174
0:39:02,5309,5862,175
0:39:04,4638,6962,176
0:39:17,199,2373,177
0:39:21,4236,6635,178
0:39:23,4764,2855,179
0:39:58,217,4904,180
0:39:59,4638,1058,181
0:40:02,4764,4144,182
0:41:22,5042,925,183
0:41:24,5137,5118,184
0:42:06,5171,3270,185
0:42:09,4638,6143,186
0:42:18,4638,4054,187
0:42:18,5143,2287,188
0:42:35,4638,5861,189
0:43:35,3638,2826,190
0:44:06,4969,5051,191
0:44:27,7013,2967,192
0:44:53,473,2052,193
0:45:00,4676,7315,194
0:45:00,3645,472,195
0:45:07,6093,2854,196
0:45:51,3115,3138,197
0:47:12,190,83,198
0:47:32,3185,7257,199
0:48:00,4493,6976,200
0:48:24,3995,2413,201
0:48:33,29,3950,202
0:48:42,2420,2420,203
0:48:58,3116,6630,204
0:49:12,4638,4040,205
0:50:29,149,6719,206
0:50:34,4764,3808,207
0:50:51,2569,1301,208
0:50:56,4982,7322,209
0:51:00,5902,2676,210
0:51:00,614,6324,211
0:51:01,2326,2919,212
0:51:02,4683,3198,213
0:51:34,4764,6563,214
0:51:34,4764,3462,215
0:51:45,2381,5038,216
0:52:18,4683,123,217
0:52:32,4764,3920,218
0:52:45,3926,1836,219
0:52:49,4764,3462,220
0:53:06,4638,78,221
0:53:09,2129,4470,222
0:53:09,4638,340,223
0:53:10,4638,103,224
0:54:00,189,5243,225
0:54:00,469,4004,226
0:54:11,4638,3197,227
0:54:43,7013,3496,228
0:54:52,3394,7321,229
