head,tail,origin_addr,dest_addr,distance,duration,traffic_duration,speed_mph,
3364,383,"503 E 11th St, Austin, TX 78701, USA","1007 Red River St, Austin, TX 78701, USA",209,38,35,13.75916667,0.921052632
383,3364,"1007 Red River St, Austin, TX 78701, USA","503 E 11th St, Austin, TX 78701, USA",447,84,78,13.41,0.928571429
3764,360,"2835 Guadalupe St, Austin, TX 78705, USA","600 W 26th St, Austin, TX 78705, USA",588,121,149,9.2904,1.231404959
360,3764,"600 W 26th St, Austin, TX 78705, USA","2835 Guadalupe St, Austin, TX 78705, USA",775,157,204,8.959756098,1.299363057
3796,359,"501 W 24th St, Austin, TX 78705, USA","500 W 22nd St, Austin, TX 78705, USA",457,117,118,9.101596639,1.008547009
359,3796,"500 W 22nd St, Austin, TX 78705, USA","501 W 24th St, Austin, TX 78705, USA",347,117,141,5.791478873,1.205128205
3797,376,"105 W Martin Luther King Jr Blvd, Austin, TX 78701, USA","100 E 17th St, Austin, TX 78701, USA",271,106,107,5.946944444,1.009433962
376,3797,"100 E 17th St, Austin, TX 78701, USA","105 W Martin Luther King Jr Blvd, Austin, TX 78701, USA",543,128,132,9.676015038,1.03125
2763,376,"1607 San Jacinto Blvd, Austin, TX 78701, USA","100 E 17th St, Austin, TX 78701, USA",290,117,116,5.874358974,0.991452991
376,2763,"100 E 17th St, Austin, TX 78701, USA","1607 San Jacinto Blvd, Austin, TX 78701, USA",290,144,143,4.772916667,0.993055556
3801,362,"2506 Speedway NMS 3.118, Austin, TX 78712, USA","The University of Texas at Austin, Liberal Arts Building, 305 E 23rd St, Austin, TX 78712, USA",890,192,228,9.210917031,1.1875
362,3801,"The University of Texas at Austin, Liberal Arts Building, 305 E 23rd St, Austin, TX 78712, USA","2506 Speedway NMS 3.118, Austin, TX 78712, USA",856,194,214,9.435906977,1.103092784
3800,362,"1800 Congress Ave, Austin, TX 78701, USA","The University of Texas at Austin, Liberal Arts Building, 305 E 23rd St, Austin, TX 78712, USA",1338,272,330,9.580241692,1.213235294
362,3800,"The University of Texas at Austin, Liberal Arts Building, 305 E 23rd St, Austin, TX 78712, USA","1800 Congress Ave, Austin, TX 78701, USA",1213,225,257,11.14267442,1.142222222
3798,362,"Union Bldg, Austin, TX 78712, USA","The University of Texas at Austin, Liberal Arts Building, 305 E 23rd St, Austin, TX 78712, USA",1526,334,393,9.179238579,1.176646707
362,3798,"The University of Texas at Austin, Liberal Arts Building, 305 E 23rd St, Austin, TX 78712, USA","Union Bldg, Austin, TX 78712, USA",1492,317,348,10.13191977,1.097791798
