,id,lat,long
0,358,30.285682,-97.747977
1,359,30.284903,-97.743151
2,362,30.285008,-97.735154
3,363,30.286926,-97.730248
4,373,30.27412,-97.749925
5,374,30.276649,-97.744971
6,375,30.279904,-97.743468
7,376,30.27864,-97.738873
8,377,30.274993,-97.740269
9,378,30.271875,-97.743373
10,379,30.270625,-97.740184
11,380,30.268129,-97.744601
12,381,30.267364,-97.741182
13,382,30.266557,-97.738381
14,383,30.270537,-97.736137
15,384,30.27371,-97.733763
16,385,30.277326,-97.734167
17,386,30.282229,-97.731517
18,404,30.266418,-97.749402
19,405,30.265461,-97.74621
20,406,30.264483,-97.742416
21,407,30.26393,-97.739258
22,408,30.259453,-97.741275
23,439,30.260153,-97.747288
24,440,30.256479,-97.743315
25,849,30.269483,-97.748407
26,2762,30.27809,-97.744172
27,2763,30.277798,-97.736099
28,2776,30.278562,-97.74592
29,2777,30.277598,-97.746279
30,2778,30.277633,-97.742615
31,2779,30.276069,-97.743195
32,2780,30.276807,-97.739643
33,2781,30.276002,-97.736773
34,2782,30.278717,-97.731664
35,2783,30.277162,-97.73278
36,2784,30.278471,-97.73074
37,2785,30.275649,-97.731733
38,2787,30.273559,-97.731662
39,2792,30.272944,-97.731
40,2826,30.276726,-97.739351
41,2827,30.27895,-97.738418
42,2828,30.277378,-97.741699
43,2829,30.279511,-97.740918
44,2830,30.275694,-97.735708
45,2831,30.279407,-97.734201
46,3018,30.252084,-97.748325
47,3019,30.256886,-97.746562
48,3020,30.25834,-97.748045
49,3021,30.258882,-97.745798
50,3022,30.260412,-97.745264
51,3023,30.268103,-97.747413
52,3024,30.267783,-97.746287
53,3025,30.275468,-97.747072
54,3026,30.275151,-97.745968
55,3046,30.26374,-97.746417
56,3047,30.264089,-97.747649
57,3048,30.265967,-97.746952
58,3049,30.269688,-97.745592
59,3050,30.270073,-97.746957
60,3051,30.271522,-97.744895
61,3052,30.272419,-97.748213
62,3053,30.26867,-97.745963
63,3054,30.269643,-97.749236
64,3132,30.260728,-97.748355
65,3135,30.259477,-97.748904
66,3156,30.258218,-97.749749
67,3164,30.26872,-97.749576
68,3166,30.265618,-97.748341
69,3167,30.264429,-97.748791
70,3168,30.267428,-97.748816
71,3169,30.267777,-97.749757
72,3170,30.275697,-97.747864
73,3171,30.273271,-97.747888
74,3172,30.269871,-97.749152
75,3173,30.270614,-97.748878
76,3240,30.262435,-97.74181
77,3241,30.259309,-97.736984
78,3242,30.262292,-97.735939
79,3243,30.261136,-97.737225
80,3244,30.261503,-97.738556
81,3245,30.263117,-97.744226
82,3246,30.261922,-97.73693
83,3247,30.262686,-97.734949
84,3248,30.258013,-97.736368
85,3249,30.261274,-97.734654
86,3250,30.260557,-97.734895
87,3251,30.266039,-97.73278
88,3252,30.265185,-97.730157
89,3253,30.254688,-97.730026
90,3254,30.255132,-97.731286
91,3255,30.260012,-97.730377
92,3256,30.260602,-97.732048
93,3258,30.264178,-97.733534
94,3259,30.268289,-97.731956
95,3261,30.269839,-97.73132
96,3262,30.272687,-97.730293
97,3263,30.271992,-97.73057
98,3264,30.272001,-97.731404
99,3266,30.274632,-97.732152
100,3268,30.271738,-97.730707
101,3273,30.259687,-97.732432
102,3275,30.265715,-97.741958
103,3276,30.263406,-97.730909
104,3277,30.261483,-97.734547
105,3278,30.253329,-97.743494
106,3279,30.257424,-97.738028
107,3281,30.253677,-97.737412
108,3283,30.255319,-97.736877
109,3284,30.253005,-97.73648
110,3285,30.253538,-97.735806
111,3286,30.252937,-97.734868
112,3287,30.256563,-97.735497
113,3288,30.254135,-97.744043
114,3289,30.250375,-97.734429
115,3291,30.254487,-97.737626
116,3292,30.257782,-97.737171
117,3293,30.258846,-97.735457
118,3294,30.256081,-97.734078
119,3295,30.260211,-97.737573
120,3296,30.254915,-97.734552
121,3297,30.269081,-97.74345
122,3298,30.263283,-97.737973
123,3299,30.265681,-97.738673
124,3300,30.268686,-97.742113
125,3301,30.270576,-97.741431
126,3302,30.266163,-97.740418
127,3303,30.270825,-97.738686
128,3304,30.268341,-97.740772
129,3305,30.269922,-97.739018
130,3306,30.268034,-97.739711
131,3307,30.272069,-97.739349
132,3308,30.271784,-97.738346
133,3309,30.275019,-97.73713
134,3310,30.261952,-97.740066
135,3311,30.267027,-97.740092
136,3312,30.267616,-97.738174
137,3313,30.26906,-97.735775
138,3314,30.269638,-97.73793
139,3315,30.269824,-97.735483
140,3316,30.270582,-97.733666
141,3317,30.269031,-97.734221
142,3318,30.272194,-97.732144
143,3319,30.269277,-97.733254
144,3320,30.269176,-97.732426
145,3321,30.270216,-97.740084
146,3322,30.27095,-97.742775
147,3323,30.266163,-97.736837
148,3324,30.265003,-97.743505
149,3325,30.267205,-97.744177
150,3326,30.266818,-97.742828
151,3327,30.267767,-97.74247
152,3328,30.26276,-97.742929
153,3329,30.26646,-97.74156
154,3330,30.265988,-97.743145
155,3331,30.264046,-97.741224
156,3332,30.268102,-97.743829
157,3333,30.263496,-97.745553
158,3334,30.266364,-97.744489
159,3335,30.267456,-97.745092
160,3336,30.267373,-97.741155
161,3337,30.272779,-97.742107
162,3338,30.274555,-97.743757
163,3339,30.27337,-97.74421
164,3340,30.273096,-97.743234
165,3341,30.272475,-97.744542
166,3342,30.272424,-97.740737
167,3343,30.271477,-97.741096
168,3344,30.265257,-97.737169
169,3345,30.265964,-97.73691
170,3346,30.2632,-97.735644
171,3347,30.263141,-97.734737
172,3348,30.263787,-97.733695
173,3349,30.264355,-97.736052
174,3350,30.264848,-97.735859
175,3351,30.266748,-97.73509
176,3352,30.268684,-97.734359
177,3353,30.267143,-97.736477
178,3354,30.272936,-97.73789
179,3355,30.271024,-97.735044
180,3356,30.272046,-97.734673
181,3357,30.273141,-97.734578
182,3358,30.271702,-97.733194
183,3359,30.272827,-97.732781
184,3360,30.275323,-97.734383
185,3361,30.273521,-97.732531
186,3362,30.272631,-97.736834
187,3363,30.271514,-97.737172
188,3364,30.271252,-97.736033
189,3610,30.279215,-97.748248
190,3611,30.285003,-97.744569
191,3612,30.288042,-97.747504
192,3613,30.287796,-97.74436
193,3636,30.282304,-97.744803
194,3637,30.283496,-97.749025
195,3667,30.285258,-97.747802
196,3768,30.279894,-97.730117
197,3775,30.279647,-97.73009
198,3777,30.28906,-97.734176
199,3792,30.285001,-97.730451
200,3793,30.285269,-97.73366
201,3795,30.289647,-97.741024
202,3796,30.287673,-97.742861
203,3797,30.280378,-97.737823
204,3798,30.287567,-97.741238
205,3799,30.285325,-97.741492
206,3800,30.2807,-97.738992
207,3801,30.289381,-97.736852
208,3803,30.289464,-97.737805
209,3804,30.287024,-97.733445
210,3805,30.283251,-97.737155
211,3806,30.283576,-97.741624
212,3807,30.279445,-97.741962
213,3808,30.281756,-97.742803
214,3809,30.282227,-97.744542
215,3810,30.280682,-97.745114
216,3811,30.281406,-97.741554
217,3812,30.283827,-97.744671
218,3813,30.28111,-97.740479
219,3815,30.279722,-97.735368
220,3816,30.283145,-97.733921
221,3817,30.280268,-97.73407
222,3819,30.289354,-97.736627
223,6145,30.267797,-97.733875
224,6146,30.267552,-97.733048
225,6147,30.274014,-97.730613
226,6148,30.27644,-97.730489
227,7306,30.265596,-97.743288
228,7446,30.260108,-97.739096
