,0,1,2
0,30.244258,-97.745091,1
1,30.237483,-97.739947,1
2,30.239097,-97.739022,1
3,30.244013,-97.75133,1
4,30.237959,-97.738734,1
5,30.235517,-97.741125,1
6,30.245881,-97.750651,1
7,30.243819,-97.742821,1
8,30.245581,-97.753343,1
9,30.244906,-97.750998,1
10,30.234424,-97.740886,1
11,30.241194,-97.744361,1
12,30.671253,-97.646967,2
13,30.681191,-97.653233,2
14,30.699812,-97.653016,2
15,30.67912,-97.65132,2
16,30.67432,-97.648284,2
17,30.669994,-97.633275,2
18,30.675787,-97.63588,2
19,30.685338,-97.656395,2
20,30.683791,-97.654274,2
21,30.686836,-97.655761,2
22,30.701045,-97.653328,2
23,30.67461,-97.648126,2
24,30.696144,-97.652555,2
25,30.675693,-97.648036,2
26,30.68416,-97.648796,2
27,30.69345,-97.644873,2
28,30.671911,-97.645595,2
29,30.688748,-97.657814,2
30,30.681573,-97.652584,2
31,30.686135,-97.658683,2
32,30.688667,-97.656984,2
33,30.674998,-97.621543,2
34,30.659924,-97.615333,2
35,30.685597,-97.658862,2
36,30.661981,-97.640347,2
37,30.661955,-97.639743,2
38,30.67521,-97.649611,2
39,30.666555,-97.64208,2
40,30.66607,-97.643756,2
41,30.684819,-97.656614,2
42,30.349585,-97.657745,3
43,30.337594,-97.661678,3
44,30.35801,-97.662114,3
45,30.337807,-97.664499,3
46,30.344212,-97.66811,3
47,30.345116,-97.670297,3
48,30.341644,-97.662746,3
49,30.599844,-97.309353,4
50,30.62155,-97.263684,4
51,30.637115,-97.257052,4
52,30.565058,-97.259618,4
53,30.593247,-97.282749,4
54,30.656402,-97.262914,4
55,30.620189,-97.292911,4
56,30.602244,-97.247418,4
57,30.605051,-97.2872,4
58,30.5629,-97.285197,4
59,30.609838,-97.218848,4
60,30.659009,-97.277782,4
61,30.605108,-97.236646,4
62,30.639784,-97.290325,4
63,30.572039,-97.288903,4
64,30.576649,-97.230771,4
65,30.591588,-97.296832,4
66,29.868981,-97.990969,5
67,29.860719,-97.996498,5
68,29.847718,-97.981245,5
69,29.846351,-97.979676,5
70,29.864424,-98.009868,5
71,29.857558,-98.012298,5
72,29.84932,-97.976323,5
73,29.841971,-97.974684,5
74,29.845097,-97.972475,5
75,29.841924,-97.983427,5
76,29.85096,-97.984969,5
77,29.862223,-97.998377,5
78,29.850231,-97.984131,5
79,29.841425,-97.984104,5
80,29.863587,-97.978738,5
81,29.842559,-97.975355,5
82,29.862152,-98.014392,5
83,30.296455,-97.718585,6
84,30.292142,-97.722255,6
85,30.29117,-97.721933,6
86,30.293044,-97.721666,6
87,30.285376,-97.72563,6
88,30.28644,-97.725844,6
89,30.288233,-97.724666,6
90,30.282855,-97.727224,6
91,30.288429,-97.723702,6
92,30.294917,-97.719603,6
93,30.293194,-97.720703,6
94,30.297427,-97.718933,6
95,30.295241,-97.7203,6
96,29.997898,-97.850285,7
97,29.993338,-97.863652,7
98,30.009416,-97.862153,7
99,29.98998,-97.859024,7
100,29.968192,-97.82357,7
101,29.992531,-97.842281,7
102,30.004292,-97.856041,7
103,29.971545,-97.818273,7
104,29.987605,-97.836644,7
105,30.415024,-97.460113,8
106,30.438984,-97.507087,8
107,30.433967,-97.482584,8
108,30.418875,-97.427254,8
109,30.440519,-97.502735,8
110,30.426107,-97.404165,8
111,30.453961,-97.469466,8
112,30.442805,-97.462556,8
113,30.459601,-97.468147,8
114,30.382322,-97.392594,8
115,30.373892,-97.397909,8
116,30.427887,-97.451867,8
117,30.399374,-97.381992,8
118,30.443669,-97.517121,8
119,30.465315,-97.466557,8
120,30.39936,-97.440864,8
121,30.467008,-97.489938,8
122,30.435331,-97.495277,8
123,30.421953,-97.474698,8
124,30.509406,-97.823042,9
125,30.48333,-97.840841,9
126,30.502457,-97.847334,9
127,30.495014,-97.857845,9
128,30.505147,-97.835235,9
129,30.473235,-97.846112,9
130,30.502098,-97.831932,9
131,30.493729,-97.826739,9
132,30.48711,-97.83847,9
133,30.514122,-97.851342,9
134,30.505476,-97.850632,9
135,30.500228,-97.830302,9
136,30.475778,-97.837875,9
137,30.497393,-97.847197,9
138,30.484195,-97.852776,9
139,30.498174,-97.827879,9
140,30.511963,-97.817689,9
141,30.480587,-97.832681,9
142,30.493786,-97.840251,9
143,30.495675,-97.822541,9
144,30.512101,-97.85779,9
145,30.5131,-97.854604,9
146,30.506964,-97.822037,9
147,30.474667,-97.841321,9
148,30.504575,-97.856275,9
149,30.507128,-97.830759,9
150,30.49147,-97.824934,9
151,30.328741,-97.690073,10
152,30.33247,-97.696583,10
153,30.327962,-97.694146,10
154,30.324755,-97.698623,10
155,30.330931,-97.700418,10
156,30.3271,-97.704494,10
157,30.333629,-97.690475,10
158,30.328651,-97.695283,10
159,30.324231,-97.69463,10
160,30.32943,-97.70401,10
161,30.331775,-97.686464,10
162,30.326825,-97.687624,10
163,30.324382,-97.689035,10
164,30.325779,-97.691914,10
165,30.323602,-97.693305,10
166,30.328697,-97.704245,10
167,30.327835,-97.702174,10
168,30.334214,-97.69178,10
169,30.332062,-97.702825,10
170,30.188994,-97.77993,11
171,30.186753,-97.774095,11
172,30.179544,-97.782873,11
173,30.183114,-97.781832,11
174,30.188088,-97.777584,11
175,30.181841,-97.777327,11
176,30.183049,-97.780152,11
177,30.178354,-97.779637,11
178,30.187451,-97.780446,11
179,30.174277,-97.783503,11
180,30.578796,-97.424374,12
181,30.584765,-97.426844,12
182,30.577677,-97.42774,12
183,30.587615,-97.428099,12
184,30.590354,-97.429884,12
185,30.586405,-97.432594,12
186,30.589385,-97.4345,12
187,30.588197,-97.42625,12
188,30.585419,-97.435536,12
189,30.584139,-97.4234,12
190,30.581871,-97.431543,12
191,30.320335,-97.561742,13
192,30.327527,-97.57601,13
193,30.342337,-97.58375,13
194,30.333247,-97.549335,13
195,30.342048,-97.568912,13
196,30.344396,-97.579975,13
197,30.311881,-97.563502,13
198,30.305063,-97.563979,13
199,30.34332,-97.579821,13
200,30.333462,-97.559222,13
201,30.343402,-97.579504,13
202,30.344321,-97.580286,13
203,30.340873,-97.557365,13
204,30.342352,-97.585073,13
205,30.337437,-97.558221,13
206,30.343886,-97.579923,13
207,30.342182,-97.570596,13
208,30.348483,-97.585201,13
209,30.341842,-97.577631,13
210,30.34417,-97.558384,13
211,29.889728,-97.918411,14
212,29.886585,-97.924278,14
213,29.891811,-97.918543,14
214,29.888441,-97.926399,14
215,29.886396,-97.922651,14
216,29.887415,-97.923324,14
217,29.892288,-97.922507,14
218,30.126556,-97.802268,15
219,30.112205,-97.799548,15
220,30.138468,-97.795207,15
221,30.116134,-97.805627,15
222,30.141058,-97.7951,15
223,30.117582,-97.805905,15
224,30.13634,-97.796009,15
225,30.109372,-97.806761,15
226,30.098435,-97.81269,15
227,30.111261,-97.805876,15
228,30.112008,-97.80369,15
229,30.129632,-97.800342,15
230,30.095201,-97.81455,15
231,30.136987,-97.798363,15
232,30.107258,-97.80864,15
233,30.138052,-97.796223,15
234,30.136175,-97.791399,15
235,30.138629,-97.789007,15
236,30.108909,-97.807884,15
237,30.125677,-97.801787,15
238,30.118369,-97.804675,15
239,30.721292,-97.831363,16
240,30.714988,-97.846004,16
241,30.732529,-97.782304,16
242,30.735675,-97.815372,16
243,30.720897,-97.773644,16
244,30.716159,-97.860061,16
245,30.714424,-97.766509,16
