,0
"(30.42192154966957, -97.6348474818821)",468
1192518822,468
"(30.416514445584003, -97.65177691547588)",146
1192518826,146
"(30.420086550910142, -97.63117237474323)",468
1192518828,468
"(30.42046265064175, -97.6319768763059)",468
1192518852,468
"(30.42154094610632, -97.64778180737652)",146
1192518855,146
"(30.415976045987478, -97.65056721310278)",146
1192518864,146
"(30.427242648741192, -97.63589988373872)",404
1192518865,404
"(30.427955047727195, -97.63923879027594)",404
1192518872,404
"(30.42472774865883, -97.63727578654276)",468
1192518877,468
"(30.41874324603345, -97.64922991034908)",146
1192518881,146
"(30.42094204563931, -97.64970351119909)",146
1192518893,146
"(30.41428374568208, -97.65237141674024)",146
1192518902,146
"(30.427594548761785, -97.63567458328208)",404
1192518906,404
"(30.420318046210095, -97.64793070771896)",146
1192518912,146
"(30.419271345631184, -97.65044101272376)",146
1192518920,146
"(30.428847647829944, -97.63848708876137)",404
1192518921,404
"(30.422449250740584, -97.63076447385059)",468
1192518924,468
"(30.42312354974445, -97.63406128029095)",468
1192518929,468
"(30.42883274801141, -97.63784128749168)",404
1192518932,404
"(30.421212650679102, -97.63151917537884)",468
1192518935,468
"(30.422235049980976, -97.63359237940563)",468
1192518949,468
"(30.418969845841296, -97.64981941150597)",146
1192518958,146
"(30.422909845555303, -97.64916821006281)",146
1192518963,146
"(30.42089614610436, -97.64806270795705)",146
1192518964,146
"(30.414926645267133, -97.65357651910227)",146
1192518972,146
"(30.421624350411513, -97.63230547690469)",468
1192518975,468
"(30.41945234700538, -97.64545700286759)",146
1192518981,146
"(30.417808145479214, -97.6516026150801)",146
1192518986,146
"(30.42143894566928, -97.64938571055102)",146
1192518999,146
"(30.41811344527761, -97.65219171623441)",146
1192519011,146
"(30.420194745470976, -97.65062091304335)",146
1192519028,146
"(30.421756250706153, -97.6311874747071)",468
1192519036,468
"(30.422742050011493, -97.63326437874191)",468
1192519042,468
"(30.418071046103428, -97.64926551044589)",146
1192519053,146
"(30.414642745460316, -97.65300901798904)",146
1192519056,146
"(30.420457051220247, -97.62989517222553)",468
1192519061,468
"(30.422130950439076, -97.631987976262)",468
1192519065,468
"(30.41676504731204, -97.64550470306723)",146
1192519070,146
"(30.41849384578801, -97.6502113122999)",146
1192519077,146
"(30.420834550949913, -97.63070657380072)",468
1192519086,468
"(30.42068604541039, -97.6506288130396)",146
1192519103,146
"(30.417050145610983, -97.65145401481567)",146
1192519107,146
"(30.417490546087585, -97.64956831106744)",146
1192519112,146
"(30.414386045769945, -97.65201531603113)",146
1192519116,146
"(30.42762674847527, -97.63669128527872)",404
1192519129,404
"(30.423826949785482, -97.63361097937927)",468
1192519134,468
"(30.41348924608964, -97.65125631456361)",146
1192519136,146
"(30.42144714709197, -97.64429750050105)",146
1192519141,146
"(30.426086148479314, -97.63733808661141)",404
1192519143,404
"(30.416453746017254, -97.65025861247348)",146
1192519148,146
"(30.416989446056775, -97.64989061172456)",146
1192519160,146
"(30.42040334560676, -97.65004811190191)",146
1192519173,146
"(30.41406504612358, -97.65089161381937)",146
1192519176,146
"(30.421804645373683, -97.65028541231607)",146
1192519179,146
"(30.421860045178505, -97.6509582136451)",146
1192519187,146
"(30.420053347160664, -97.64464570124291)",146
1192519201,146
"(30.416786647563438, -97.64459680127473)",146
1192519203,146
"(30.422863649018176, -97.63678448565068)",468
1192519208,468
"(30.4156873456005, -97.65206811608482)",146
1192519212,146
"(30.41956014542991, -97.65103631389033)",146
1192519216,146
"(30.417672747180934, -97.64558690319389)",146
1192519220,146
"(30.41410964565605, -97.65253771707641)",146
1192519223,146
"(30.42315964537693, -97.64969901110261)",146
1192519236,146
"(30.421534849938787, -97.63404538032243)",468
1192519238,468
"(30.27255834352079, -97.71761045291184)",41
1192540382,41
"(30.266981744582058, -97.71622245024822)",41
1192540383,41
"(30.266084944741415, -97.71603754989806)",41
1192540386,41
"(30.31181995495339, -97.66257564069359)",177
1198063330,177
"(30.56215731712193, -97.69212588976717)",49
1199491744,49
"(30.489949030443455, -97.6747839582305)",357
1199491749,357
"(30.557685017615498, -97.69222579018252)",49
1199491759,49
"(30.49058123045847, -97.67446575756624)",357
1199491768,357
"(30.55493381788506, -97.6924086906825)",49
1199491771,49
"(30.55032160415132, -97.74259049334609)",394
1199566031,394
"(30.259055236320858, -97.74691691359723)",281
1201631730,281
"(30.258458435676374, -97.74928051851269)",201
1201631788,201
"(30.259258536542685, -97.74610351190698)",281
1201631976,281
"(30.50347209201541, -97.80201852001467)",193
1203857254,193
"(30.49944459304456, -97.8000843160891)",249
1203857337,249
"(30.499764691140907, -97.80632532933991)",193
1203857359,193
"(30.500514290834406, -97.80706833088799)",193
1203857368,193
"(30.500082291003196, -97.80666633005153)",193
1203857393,193
"(30.502879590016637, -97.80891423471348)",193
1203857398,193
"(30.529127789107555, -97.80214241909844)",372
1203869021,372
"(30.549332465104737, -97.87406987350755)",423
1203886511,423
"(30.544086466907522, -97.87006086496449)",423
1203886515,423
"(30.54940516585259, -97.87161286811065)",423
1203886525,423
"(30.542685466559277, -97.87168806860066)",423
1203886530,423
"(30.549293765850372, -97.87165946821833)",423
1203886534,423
"(30.543012965806202, -97.87401847370043)",423
1203886548,423
"(30.543936766446237, -97.87161376837737)",423
1203886562,423
"(30.54371616605899, -97.87294987132013)",423
1203886564,423
"(30.545942565775793, -97.87308477150876)",423
1203886566,423
"(30.54428936556925, -97.8743381743411)",423
1203886568,423
"(30.54469916664394, -97.87070166633994)",423
1203886572,423
"(30.541864665954044, -97.87394307359014)",423
1203886577,423
"(30.5440349667621, -97.87055206604396)",423
1203886587,423
"(30.53514776334935, -97.88472279764672)",259
1203888813,259
"(30.562242284906493, -97.80382482109063)",448
1203889974,448
"(30.563485384005762, -97.80639302649222)",448
1203889976,448
"(30.56491778549266, -97.80083711461347)",448
1203889977,448
"(30.56513308423919, -97.80498672341962)",448
1203889981,448
"(30.564404085109235, -97.8023259177999)",448
1203889982,448
"(30.564034084777116, -97.80358632049611)",448
1203889983,448
"(30.5614462850919, -97.80349942043786)",448
1203889984,448
"(30.563028984723164, -97.80414682173672)",448
1203889985,448
"(30.562784385354966, -97.80210741741504)",448
1203889986,448
"(30.562278783802874, -97.80752932897012)",448
1203889987,448
"(30.563774284549496, -97.80445182234874)",448
1203889989,448
"(30.564295285012864, -97.80269231858364)",448
1203889990,448
"(30.56230978343483, -97.80875623158182)",448
1203889996,448
"(30.562509385127495, -97.80297871927944)",448
1203889997,448
"(30.565634284695943, -97.80325711971808)",448
1203889998,448
"(30.565386684470354, -97.80411152154623)",448
1203890004,448
"(30.56254678413755, -97.80630182634404)",448
1203890009,448
"(30.564797985519746, -97.80079081452101)",448
1203890011,448
"(30.56158548436247, -97.8059055255477)",448
1203890013,448
"(30.569038082950513, -97.80786192934667)",448
1203890455,448
"(30.53513628203159, -97.82355166452137)",273
1205160866,273
"(30.533309081283562, -97.82670927138737)",273
1205160876,273
"(30.534875881803423, -97.82440616636738)",273
1205160878,273
"(30.5335366822593, -97.82338416423762)",273
1205160883,273
"(30.531745480714594, -97.82917017675182)",273
1205160890,273
"(30.534065081104128, -97.82702697203435)",273
1205160901,273
"(30.54599976897576, -97.86264034863218)",15
1205183154,15
"(30.547065868279933, -97.86453285271712)",423
1205183160,423
"(30.54749476863709, -97.86321424981394)",15
1205183162,15
"(30.28475844193573, -97.71816635366774)",184
1210021899,184
"(30.285866640157188, -97.72373036501558)",184
1210021900,184
"(30.210862467289754, -97.66142234143697)",174
1210023409,174
"(30.210727367352835, -97.66126074111922)",174
1210023411,174
"(30.210519467287757, -97.66156964173922)",174
1210023412,174
"(30.21062906722696, -97.66173374206267)",174
1210023413,174
"(30.534290468537865, -97.86822316140662)",259
1214292800,259
"(30.535610268581536, -97.86761416000991)",259
1214292804,259
"(30.54025426903925, -97.86447675292246)",259
1214292808,259
"(30.536909168798168, -97.86644905739726)",259
1214292815,259
"(30.536189869348615, -97.86491165406788)",259
1214292851,259
